   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.31379931E-01  1.10912820E-01  4.42868623E-01  4.75073634E-01  0.00000000E+00
     100  1.35189773E-01  9.92096928E-02  4.43375808E-01  4.74026313E-01  0.00000000E+00
     200  1.23803521E-01  9.01268057E-02  4.46416130E-01  4.71950754E-01  0.00000000E+00
     300  1.22942633E-01  9.63104024E-02  4.47494764E-01  4.73964290E-01  0.00000000E+00
     400  1.26730536E-01  9.53469901E-02  4.46626131E-01  4.73947864E-01  0.00000000E+00
     500  1.33920761E-01  9.78154897E-02  4.43108139E-01  4.73125209E-01  0.00000000E+00
     600  1.31101667E-01  8.93968624E-02  4.45160688E-01  4.72596535E-01  0.00000000E+00
     700  1.19735093E-01  9.03938782E-02  4.48086833E-01  4.72535031E-01  0.00000000E+00
     800  1.27290209E-01  9.34486578E-02  4.44887252E-01  4.72080625E-01  0.00000000E+00
     900  1.25301739E-01  9.57070655E-02  4.46508357E-01  4.73529388E-01  0.00000000E+00
    1000  1.21616138E-01  1.09182607E-01  4.44036196E-01  4.73159033E-01  0.00000000E+00
    1100  1.22330602E-01  1.09682439E-01  4.46300689E-01  4.75583135E-01  0.00000000E+00
    1200  1.14557922E-01  1.04183098E-01  4.47528744E-01  4.73560568E-01  0.00000000E+00
    1300  1.02854382E-01  1.05908495E-01  4.52158318E-01  4.75649848E-01  0.00000000E+00
    1400  9.94597618E-02  9.97097769E-02  4.53496286E-01  4.74861207E-01  0.00000000E+00
    1500  1.10405976E-01  9.82904341E-02  4.47710375E-01  4.71481780E-01  0.00000000E+00
    1600  1.11173305E-01  1.01391086E-01  4.49633635E-01  4.74141394E-01  0.00000000E+00
    1700  1.04812479E-01  1.04015677E-01  4.51864923E-01  4.75380716E-01  0.00000000E+00
    1800  9.66456687E-02  1.06975221E-01  4.50939165E-01  4.73423926E-01  0.00000000E+00
    1900  9.83468804E-02  1.11394787E-01  4.49887442E-01  4.73792801E-01  0.00000000E+00
    2000  1.06251765E-01  9.70252518E-02  4.49638807E-01  4.72099983E-01  0.00000000E+00
    2100  1.05129206E-01  9.42009236E-02  4.49452856E-01  4.71098539E-01  0.00000000E+00
    2200  1.05206066E-01  9.18807869E-02  4.47172576E-01  4.68480211E-01  0.00000000E+00
    2300  1.06516514E-01  1.01824465E-01  4.46056493E-01  4.69766308E-01  0.00000000E+00
    2400  1.10316436E-01  1.16719851E-01  4.41485023E-01  4.69789597E-01  0.00000000E+00
    2500  1.17831885E-01  1.16438392E-01  4.38832570E-01  4.69058927E-01  0.00000000E+00
    2600  1.00675470E-01  1.15932820E-01  4.42542932E-01  4.68423116E-01  0.00000000E+00
    2700  1.08191949E-01  1.08800149E-01  4.42031716E-01  4.67904913E-01  0.00000000E+00
    2800  1.13443537E-01  1.06281811E-01  4.42009286E-01  4.68548257E-01  0.00000000E+00
    2900  1.16551270E-01  9.84097618E-02  4.44816916E-01  4.70245435E-01  0.00000000E+00
    3000  1.27891526E-01  9.37097488E-02  4.44647828E-01  4.72069328E-01  0.00000000E+00
    3100  1.34800904E-01  1.00347246E-01  4.42041060E-01  4.72907128E-01  0.00000000E+00
    3200  1.30101292E-01  9.20595508E-02  4.46038869E-01  4.73658083E-01  0.00000000E+00
    3300  1.20998919E-01  9.16116036E-02  4.49026177E-01  4.73980940E-01  0.00000000E+00
    3400  1.17796625E-01  9.12182239E-02  4.49349981E-01  4.73404916E-01  0.00000000E+00
    3500  1.20621630E-01  8.90611134E-02  4.50486236E-01  4.74783433E-01  0.00000000E+00
    3600  1.13303874E-01  8.44123350E-02  4.53535525E-01  4.75034401E-01  0.00000000E+00
    3700  1.07273329E-01  8.65966112E-02  4.53715292E-01  4.74198383E-01  0.00000000E+00
    3800  9.92923997E-02  8.74544709E-02  4.55400070E-01  4.74232526E-01  0.00000000E+00
    3900  9.95810772E-02  7.93896834E-02  4.57783722E-01  4.75168443E-01  0.00000000E+00
    4000  9.56485509E-02  7.19768174E-02  4.59390179E-01  4.74730075E-01  0.00000000E+00
    4100  9.06242612E-02  6.42897434E-02  4.60989695E-01  4.74191340E-01  0.00000000E+00
    4200  9.92951783E-02  6.13661242E-02  4.58139930E-01  4.72776405E-01  0.00000000E+00
    4300  9.34331705E-02  6.45555890E-02  4.58224208E-01  4.72087498E-01  0.00000000E+00
    4400  9.88150439E-02  5.68852671E-02  4.60050195E-01  4.73968911E-01  0.00000000E+00
    4500  9.81321907E-02  5.73562072E-02  4.61318482E-01  4.75115147E-01  0.00000000E+00
    4600  1.08237413E-01  6.65217975E-02  4.58342818E-01  4.75624459E-01  0.00000000E+00
    4700  1.11048985E-01  6.85615544E-02  4.55439510E-01  4.73769681E-01  0.00000000E+00
    4800  1.09307449E-01  7.71308329E-02  4.55895910E-01  4.75119316E-01  0.00000000E+00
    4900  1.08319272E-01  8.05542630E-02  4.56581260E-01  4.76118159E-01  0.00000000E+00
    5000  1.15243874E-01  7.79646422E-02  4.54011396E-01  4.74853644E-01  0.00000000E+00
    5100  1.19335347E-01  6.88662193E-02  4.53130984E-01  4.73615002E-01  0.00000000E+00
    5200  1.10490236E-01  7.35133319E-02  4.54435393E-01  4.73417183E-01  0.00000000E+00
    5300  1.05137518E-01  7.90755559E-02  4.55879302E-01  4.74481590E-01  0.00000000E+00
    5400  1.17757368E-01  8.19962950E-02  4.50682103E-01  4.72974152E-01  0.00000000E+00
    5500  1.22288400E-01  8.23032269E-02  4.48491538E-01  4.72094200E-01  0.00000000E+00
    5600  1.17398665E-01  8.54376983E-02  4.49737019E-01  4.72594364E-01  0.00000000E+00
    5700  1.25274530E-01  8.94541904E-02  4.46854892E-01  4.72625703E-01  0.00000000E+00
    5800  1.29741435E-01  9.59523984E-02  4.45578930E-01  4.73899025E-01  0.00000000E+00
    5900  1.30675449E-01  9.14886875E-02  4.44844513E-01  4.72581097E-01  0.00000000E+00
    6000  1.29410771E-01  8.86718004E-02  4.46895055E-01  4.73629630E-01  0.00000000E+00
    6100  1.15588940E-01  9.04133423E-02  4.49163066E-01  4.72528132E-01  0.00000000E+00
    6200  1.20472144E-01  8.17045316E-02  4.47288691E-01  4.70378934E-01  0.00000000E+00
    6300  1.19457212E-01  7.87231830E-02  4.48819328E-01  4.71069161E-01  0.00000000E+00
    6400  1.20455295E-01  7.82326526E-02  4.50024322E-01  4.72389370E-01  0.00000000E+00
    6500  1.13492444E-01  7.72178675E-02  4.53912929E-01  4.74215227E-01  0.00000000E+00
    6600  1.06585865E-01  7.54877180E-02  4.54086490E-01  4.72497072E-01  0.00000000E+00
    6700  1.08052239E-01  7.57068424E-02  4.55518661E-01  4.74240512E-01  0.00000000E+00
    6800  1.17619533E-01  6.33572487E-02  4.54285038E-01  4.73522324E-01  0.00000000E+00
    6900  1.17474718E-01  6.36096334E-02  4.53077610E-01  4.72361954E-01  0.00000000E+00
    7000  1.14165612E-01  5.69212114E-02  4.55544227E-01  4.73069080E-01  0.00000000E+00
