   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  4.06938944E-01  1.65599304E-01  2.74231295E-02  6.66666667E-01 -2.58927720E-15  2.99276391E-12 -9.06796546E-01 -9.05696910E-01  0.00000000E+00
      11  4.08741836E-01  1.67075020E-01  2.79174900E-02  6.66625734E-01  9.87853794E-04  1.35660535E+00 -9.00809437E-01 -8.99890717E-01  0.00000000E+00
      21  4.08309837E-01  1.66724588E-01  2.78022119E-02  6.66605224E-01  1.47548712E-03  1.32166075E+00 -9.01144674E-01 -9.00194949E-01  0.00000000E+00
      31  4.07926843E-01  1.66411439E-01  2.76975203E-02  6.66609452E-01  1.37259587E-03  2.32871486E+00 -9.00607261E-01 -8.99694108E-01  0.00000000E+00
      41  4.08742457E-01  1.67077571E-01  2.79197136E-02  6.66609364E-01  1.38132819E-03  2.31359137E+00 -9.01148150E-01 -9.00225881E-01  0.00000000E+00
      51  4.07881129E-01  1.66376638E-01  2.76875653E-02  6.66589845E-01  1.85245982E-03  2.25519320E+00 -9.00868675E-01 -8.99924927E-01  0.00000000E+00
      61  4.06262696E-01  1.65063184E-01  2.72549667E-02  6.66555188E-01  2.65781285E-03  1.76564421E+00 -9.00370791E-01 -8.99410139E-01  0.00000000E+00
      71  4.06259963E-01  1.65058321E-01  2.72516182E-02  6.66576510E-01  2.14914392E-03  1.61761237E+00 -9.00995350E-01 -9.00043370E-01  0.00000000E+00
      81  4.06482818E-01  1.65238272E-01  2.73102851E-02  6.66586108E-01  1.92332332E-03  1.54603978E+00 -9.01176218E-01 -9.00219620E-01  0.00000000E+00
      91  4.06756360E-01  1.65460166E-01  2.73832967E-02  6.66590809E-01  1.81517155E-03  1.58322490E+00 -9.00701776E-01 -8.99771307E-01  0.00000000E+00
     101  4.07214850E-01  1.65832737E-01  2.75063150E-02  6.66596144E-01  1.69477260E-03  1.51028764E+00 -9.00477463E-01 -8.99543115E-01  0.00000000E+00
     111  4.07355119E-01  1.65946412E-01  2.75436445E-02  6.66600906E-01  1.58226429E-03  1.41339849E+00 -9.00357988E-01 -8.99406397E-01  0.00000000E+00
     121  4.07681898E-01  1.66212556E-01  2.76319255E-02  6.66602576E-01  1.54496602E-03  1.44720542E+00 -9.00717564E-01 -8.99766842E-01  0.00000000E+00
     131  4.07559282E-01  1.66112243E-01  2.75983581E-02  6.66605290E-01  1.47753586E-03  1.60125031E+00 -9.00605251E-01 -8.99669512E-01  0.00000000E+00
     141  4.07695490E-01  1.66222732E-01  2.76347113E-02  6.66609787E-01  1.37057071E-03  1.53576368E+00 -9.00724405E-01 -8.99790143E-01  0.00000000E+00
     151  4.07772209E-01  1.66285229E-01  2.76554563E-02  6.66610263E-01  1.35817393E-03  1.54042936E+00 -9.00969623E-01 -9.00031312E-01  0.00000000E+00
     161  4.07988410E-01  1.66461829E-01  2.77143796E-02  6.66608456E-01  1.40285861E-03  1.58375480E+00 -9.00974676E-01 -9.00040385E-01  0.00000000E+00
     171  4.08045099E-01  1.66507865E-01  2.77295613E-02  6.66610255E-01  1.35963446E-03  1.61046550E+00 -9.00935429E-01 -9.00006630E-01  0.00000000E+00
     181  4.08295752E-01  1.66713070E-01  2.77983390E-02  6.66605603E-01  1.47246950E-03  1.66020532E+00 -9.01312902E-01 -9.00386811E-01  0.00000000E+00
     191  4.08466762E-01  1.66852501E-01  2.78446877E-02  6.66607629E-01  1.42559775E-03  1.71101824E+00 -9.01467457E-01 -9.00549129E-01  0.00000000E+00
     201  4.08389826E-01  1.66789839E-01  2.78239029E-02  6.66606127E-01  1.46098109E-03  1.68718786E+00 -9.01632671E-01 -9.00720450E-01  0.00000000E+00
     211  4.08440673E-01  1.66831346E-01  2.78377360E-02  6.66606330E-01  1.45591958E-03  1.60614610E+00 -9.01616517E-01 -9.00705558E-01  0.00000000E+00
     221  4.08451679E-01  1.66840719E-01  2.78411195E-02  6.66603270E-01  1.52941539E-03  1.62377299E+00 -9.01501945E-01 -9.00585135E-01  0.00000000E+00
     231  4.08414898E-01  1.66810937E-01  2.78313601E-02  6.66601122E-01  1.58003091E-03  1.79877728E+00 -9.01561925E-01 -9.00640840E-01  0.00000000E+00
     241  4.08438388E-01  1.66829997E-01  2.78376368E-02  6.66602128E-01  1.55552745E-03  1.79369980E+00 -9.01390881E-01 -9.00464570E-01  0.00000000E+00
     251  4.08406707E-01  1.66803713E-01  2.78285965E-02  6.66605352E-01  1.47735930E-03  1.74312861E+00 -9.01508438E-01 -9.00576102E-01  0.00000000E+00
     261  4.08361888E-01  1.66767148E-01  2.78164268E-02  6.66604999E-01  1.48544664E-03  1.81325873E+00 -9.01604324E-01 -9.00671271E-01  0.00000000E+00
     271  4.08268551E-01  1.66690916E-01  2.77909977E-02  6.66605048E-01  1.48340365E-03  1.77071773E+00 -9.01427103E-01 -9.00489585E-01  0.00000000E+00
     281  4.08251625E-01  1.66677300E-01  2.77865939E-02  6.66603415E-01  1.52284257E-03  1.75593896E+00 -9.01534076E-01 -9.00598153E-01  0.00000000E+00
     291  4.08167643E-01  1.66609141E-01  2.77641442E-02  6.66600161E-01  1.60105755E-03  1.81817363E+00 -9.01548764E-01 -9.00610823E-01  0.00000000E+00
     301  4.08236010E-01  1.66664646E-01  2.77824364E-02  6.66602680E-01  1.54133837E-03  1.79280529E+00 -9.01701256E-01 -9.00763000E-01  0.00000000E+00
     311  4.08269102E-01  1.66691556E-01  2.77913333E-02  6.66603583E-01  1.52009135E-03  1.85329573E+00 -9.01741502E-01 -9.00806712E-01  0.00000000E+00
     321  4.08286126E-01  1.66705532E-01  2.77960454E-02  6.66602965E-01  1.53461172E-03  1.87652542E+00 -9.01692701E-01 -9.00761857E-01  0.00000000E+00
     331  4.08275726E-01  1.66696863E-01  2.77930365E-02  6.66604382E-01  1.50062901E-03  1.97684942E+00 -9.01625646E-01 -9.00693983E-01  0.00000000E+00
     341  4.08260899E-01  1.66684576E-01  2.77888198E-02  6.66605816E-01  1.46578583E-03  1.90398430E+00 -9.01554607E-01 -9.00621547E-01  0.00000000E+00
     351  4.08226482E-01  1.66656271E-01  2.77792494E-02  6.66607419E-01  1.42662617E-03  1.89941646E+00 -9.01566315E-01 -9.00628401E-01  0.00000000E+00
     361  4.08233601E-01  1.66661871E-01  2.77809746E-02  6.66609119E-01  1.38575586E-03  1.86542839E+00 -9.01576654E-01 -9.00638599E-01  0.00000000E+00
     371  4.08143653E-01  1.66588361E-01  2.77564234E-02  6.66609715E-01  1.37047830E-03  1.82198932E+00 -9.01535438E-01 -9.00600183E-01  0.00000000E+00
     381  4.08091546E-01  1.66545881E-01  2.77423056E-02  6.66609282E-01  1.38047164E-03  1.81122213E+00 -9.01528081E-01 -9.00592669E-01  0.00000000E+00
     391  4.08121810E-01  1.66570421E-01  2.77503725E-02  6.66610595E-01  1.34930822E-03  1.76635244E+00 -9.01557121E-01 -9.00619280E-01  0.00000000E+00
     401  4.08116407E-01  1.66565875E-01  2.77487679E-02  6.66611674E-01  1.32318857E-03  1.76645382E+00 -9.01503559E-01 -9.00568555E-01  0.00000000E+00
     411  4.08110950E-01  1.66561645E-01  2.77475090E-02  6.66609867E-01  1.36646729E-03  1.85280032E+00 -9.01597772E-01 -9.00665897E-01  0.00000000E+00
     421  4.08027510E-01  1.66493502E-01  2.77247837E-02  6.66610181E-01  1.35793510E-03  1.82150252E+00 -9.01594453E-01 -9.00664410E-01  0.00000000E+00
     431  4.07944689E-01  1.66425872E-01  2.77022331E-02  6.66610556E-01  1.34799841E-03  1.76517802E+00 -9.01579874E-01 -9.00651603E-01  0.00000000E+00
     441  4.07933138E-01  1.66416345E-01  2.76989944E-02  6.66611367E-01  1.32830715E-03  1.81547054E+00 -9.01486529E-01 -9.00557564E-01  0.00000000E+00
     451  4.07878525E-01  1.66372068E-01  2.76844399E-02  6.66609167E-01  1.38176536E-03  1.79191581E+00 -9.01482102E-01 -9.00550999E-01  0.00000000E+00
     461  4.07836771E-01  1.66338052E-01  2.76731496E-02  6.66608817E-01  1.38999877E-03  1.77648115E+00 -9.01441526E-01 -9.00513777E-01  0.00000000E+00
     471  4.07857830E-01  1.66355217E-01  2.76788517E-02  6.66608928E-01  1.38740960E-03  1.76737110E+00 -9.01526769E-01 -9.00600491E-01  0.00000000E+00
     481  4.07858569E-01  1.66355907E-01  2.76791383E-02  6.66608244E-01  1.40435145E-03  1.77738750E+00 -9.01492376E-01 -9.00566502E-01  0.00000000E+00
     491  4.07855603E-01  1.66353301E-01  2.76781468E-02  6.66609740E-01  1.36836297E-03  1.76949287E+00 -9.01443568E-01 -9.00517108E-01  0.00000000E+00
     501  4.07767334E-01  1.66281386E-01  2.76542764E-02  6.66609075E-01  1.38362745E-03  1.78034508E+00 -9.01293836E-01 -9.00368764E-01  0.00000000E+00
     511  4.07748182E-01  1.66266007E-01  2.76493230E-02  6.66607127E-01  1.42980248E-03  1.86202536E+00 -9.01338482E-01 -9.00413563E-01  0.00000000E+00
     521  4.07563382E-01  1.66116192E-01  2.76000837E-02  6.66600295E-01  1.59418724E-03  1.82552146E+00 -9.01260165E-01 -9.00333350E-01  0.00000000E+00
     531  4.07486268E-01  1.66053298E-01  2.75791643E-02  6.66600583E-01  1.58622319E-03  1.79085511E+00 -9.01280976E-01 -9.00353715E-01  0.00000000E+00
     541  4.07392857E-01  1.65977448E-01  2.75541528E-02  6.66598426E-01  1.63785823E-03  1.80056031E+00 -9.01202962E-01 -9.00275801E-01  0.00000000E+00
     551  4.07500724E-01  1.66065432E-01  2.75834248E-02  6.66597805E-01  1.65405737E-03  1.77098160E+00 -9.01296635E-01 -9.00369505E-01  0.00000000E+00
     561  4.07489143E-01  1.66055813E-01  2.75801110E-02  6.66599239E-01  1.61938644E-03  1.74458854E+00 -9.01244626E-01 -9.00315349E-01  0.00000000E+00
