#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.300616  0.666144  0.002051
    9011  0.300611  0.666144  0.002050
    9021  0.300603  0.666144  0.002050
    9031  0.300599  0.666144  0.002049
    9041  0.300587  0.666144  0.002049
    9051  0.300599  0.666145  0.002048
    9061  0.300622  0.666145  0.002048
    9071  0.300625  0.666145  0.002047
    9081  0.300621  0.666145  0.002047
    9091  0.300637  0.666145  0.002046
    9101  0.300652  0.666145  0.002046
    9111  0.300662  0.666145  0.002045
    9121  0.300690  0.666145  0.002045
    9131  0.300695  0.666146  0.002044
    9141  0.300698  0.666146  0.002044
    9151  0.300687  0.666146  0.002043
    9161  0.300685  0.666146  0.002043
    9171  0.300709  0.666146  0.002043
    9181  0.300723  0.666146  0.002042
    9191  0.300727  0.666146  0.002042
    9201  0.300733  0.666147  0.002041
    9211  0.300730  0.666147  0.002041
    9221  0.300745  0.666147  0.002040
    9231  0.300770  0.666147  0.002040
    9241  0.300771  0.666147  0.002040
    9251  0.300773  0.666147  0.002039
    9261  0.300777  0.666147  0.002039
    9271  0.300789  0.666147  0.002038
    9281  0.300788  0.666148  0.002038
    9291  0.300786  0.666148  0.002037
    9301  0.300793  0.666148  0.002037
    9311  0.300789  0.666148  0.002036
    9321  0.300787  0.666148  0.002036
    9331  0.300787  0.666148  0.002035
    9341  0.300788  0.666148  0.002035
    9351  0.300802  0.666149  0.002034
    9361  0.300816  0.666149  0.002033
    9371  0.300825  0.666149  0.002033
    9381  0.300832  0.666149  0.002032
    9391  0.300830  0.666149  0.002032
    9401  0.300826  0.666149  0.002031
    9411  0.300823  0.666150  0.002030
    9421  0.300810  0.666150  0.002030
    9431  0.300814  0.666150  0.002029
    9441  0.300811  0.666150  0.002029
    9451  0.300787  0.666150  0.002028
    9461  0.300774  0.666150  0.002027
    9471  0.300771  0.666151  0.002027
    9481  0.300758  0.666151  0.002026
    9491  0.300762  0.666151  0.002026
    9501  0.300783  0.666151  0.002025
    9511  0.300795  0.666151  0.002025
    9521  0.300811  0.666151  0.002024
    9531  0.300821  0.666151  0.002023
    9541  0.300842  0.666152  0.002023
    9551  0.300859  0.666152  0.002022
    9561  0.300863  0.666152  0.002022
    9571  0.300854  0.666152  0.002021
    9581  0.300854  0.666152  0.002021
    9591  0.300867  0.666152  0.002020
    9601  0.300880  0.666152  0.002020
    9611  0.300876  0.666153  0.002019
    9621  0.300874  0.666153  0.002019
    9631  0.300884  0.666153  0.002018
    9641  0.300888  0.666153  0.002018
    9651  0.300873  0.666153  0.002017
    9661  0.300855  0.666153  0.002017
    9671  0.300852  0.666153  0.002016
    9681  0.300841  0.666154  0.002016
    9691  0.300826  0.666154  0.002015
    9701  0.300823  0.666154  0.002015
    9711  0.300839  0.666154  0.002014
    9721  0.300842  0.666154  0.002014
    9731  0.300853  0.666154  0.002013
    9741  0.300870  0.666154  0.002013
    9751  0.300887  0.666155  0.002012
    9761  0.300920  0.666155  0.002012
    9771  0.300944  0.666155  0.002012
    9781  0.300957  0.666155  0.002011
    9791  0.300966  0.666155  0.002011
    9801  0.300987  0.666155  0.002011
    9811  0.301006  0.666155  0.002011
    9821  0.301022  0.666155  0.002010
    9831  0.301041  0.666155  0.002010
    9841  0.301061  0.666155  0.002010
    9851  0.301082  0.666155  0.002010
    9861  0.301105  0.666155  0.002010
    9871  0.301130  0.666155  0.002010
    9881  0.301145  0.666155  0.002010
    9891  0.301157  0.666155  0.002010
    9901  0.301165  0.666155  0.002010
    9911  0.301182  0.666155  0.002010
    9921  0.301204  0.666155  0.002010
    9931  0.301212  0.666155  0.002010
    9941  0.301205  0.666155  0.002010
    9951  0.301187  0.666155  0.002010
    9961  0.301186  0.666155  0.002010
    9971  0.301184  0.666155  0.002010
    9981  0.301185  0.666155  0.002010
    9991  0.301186  0.666155  0.002010
#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.301331  0.666178  0.001931
    9011  0.301319  0.666178  0.001931
    9021  0.301310  0.666178  0.001931
    9031  0.301311  0.666178  0.001931
    9041  0.301309  0.666178  0.001931
    9051  0.301322  0.666178  0.001931
    9061  0.301345  0.666178  0.001932
    9071  0.301359  0.666178  0.001932
    9081  0.301364  0.666178  0.001932
    9091  0.301375  0.666178  0.001932
    9101  0.301387  0.666178  0.001932
    9111  0.301388  0.666178  0.001932
    9121  0.301397  0.666178  0.001932
    9131  0.301396  0.666178  0.001932
    9141  0.301393  0.666178  0.001932
    9151  0.301383  0.666178  0.001932
    9161  0.301377  0.666178  0.001932
    9171  0.301391  0.666178  0.001932
    9181  0.301396  0.666178  0.001932
    9191  0.301400  0.666178  0.001932
    9201  0.301411  0.666178  0.001932
    9211  0.301401  0.666178  0.001932
    9221  0.301407  0.666178  0.001931
    9231  0.301417  0.666179  0.001931
    9241  0.301407  0.666179  0.001931
    9251  0.301393  0.666179  0.001931
    9261  0.301374  0.666179  0.001931
    9271  0.301373  0.666179  0.001931
    9281  0.301354  0.666179  0.001931
    9291  0.301350  0.666179  0.001930
    9301  0.301359  0.666179  0.001930
    9311  0.301360  0.666179  0.001930
    9321  0.301356  0.666179  0.001930
    9331  0.301356  0.666179  0.001930
    9341  0.301355  0.666179  0.001929
    9351  0.301351  0.666179  0.001929
    9361  0.301352  0.666179  0.001929
    9371  0.301352  0.666179  0.001928
    9381  0.301347  0.666179  0.001928
    9391  0.301333  0.666180  0.001928
    9401  0.301319  0.666180  0.001928
    9411  0.301308  0.666180  0.001927
    9421  0.301274  0.666180  0.001927
    9431  0.301259  0.666180  0.001927
    9441  0.301246  0.666180  0.001927
    9451  0.301214  0.666180  0.001927
    9461  0.301195  0.666180  0.001927
    9471  0.301187  0.666180  0.001927
    9481  0.301157  0.666180  0.001927
    9491  0.301141  0.666180  0.001927
    9501  0.301138  0.666180  0.001927
    9511  0.301124  0.666180  0.001927
    9521  0.301116  0.666180  0.001927
    9531  0.301116  0.666180  0.001927
    9541  0.301116  0.666180  0.001927
    9551  0.301102  0.666180  0.001927
    9561  0.301089  0.666180  0.001927
    9571  0.301068  0.666180  0.001927
    9581  0.301045  0.666180  0.001927
    9591  0.301022  0.666180  0.001927
    9601  0.301009  0.666180  0.001927
    9611  0.300994  0.666180  0.001928
    9621  0.300982  0.666180  0.001928
    9631  0.300976  0.666180  0.001928
    9641  0.300975  0.666180  0.001928
    9651  0.300963  0.666180  0.001928
    9661  0.300942  0.666180  0.001928
    9671  0.300931  0.666180  0.001928
    9681  0.300909  0.666180  0.001928
    9691  0.300903  0.666180  0.001929
    9701  0.300911  0.666179  0.001929
    9711  0.300931  0.666179  0.001929
    9721  0.300936  0.666179  0.001929
    9731  0.300937  0.666179  0.001929
    9741  0.300941  0.666179  0.001929
    9751  0.300943  0.666179  0.001929
    9761  0.300951  0.666179  0.001930
    9771  0.300953  0.666179  0.001930
    9781  0.300951  0.666179  0.001930
    9791  0.300938  0.666179  0.001930
    9801  0.300931  0.666179  0.001930
    9811  0.300921  0.666179  0.001930
    9821  0.300908  0.666179  0.001930
    9831  0.300893  0.666179  0.001930
    9841  0.300888  0.666179  0.001930
    9851  0.300880  0.666179  0.001930
    9861  0.300867  0.666179  0.001930
    9871  0.300846  0.666179  0.001930
    9881  0.300823  0.666179  0.001930
    9891  0.300800  0.666179  0.001930
    9901  0.300781  0.666179  0.001930
    9911  0.300778  0.666179  0.001931
    9921  0.300769  0.666179  0.001931
    9931  0.300758  0.666179  0.001931
    9941  0.300741  0.666179  0.001931
    9951  0.300713  0.666179  0.001931
    9961  0.300693  0.666179  0.001932
    9971  0.300677  0.666179  0.001932
    9981  0.300662  0.666179  0.001932
    9991  0.300639  0.666178  0.001932
