   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -6.21884224E-03  6.31289880E-03 -1.16059716E-01  1.16397528E-01  0.00000000E+00
     100 -6.00459011E-02 -3.36272047E-02 -1.12982548E-01  1.32292688E-01  0.00000000E+00
     200 -2.74024076E-02 -6.42210659E-02 -7.85354334E-02  1.05085925E-01  0.00000000E+00
     300 -8.39651342E-02 -8.71806197E-02 -6.22332068E-02  1.36101345E-01  0.00000000E+00
     400 -7.73565939E-02 -9.53045417E-02 -8.59017119E-02  1.49820234E-01  0.00000000E+00
     500 -8.09270098E-02 -7.38208113E-02 -7.79985792E-02  1.34471080E-01  0.00000000E+00
     600 -1.19423697E-01 -6.45459926E-02 -7.20400124E-02  1.53681384E-01  0.00000000E+00
     700 -1.34752508E-01 -6.13987568E-02 -5.32642817E-02  1.57369404E-01  0.00000000E+00
     800 -1.37849826E-01 -4.00015505E-02 -4.93609148E-02  1.51786687E-01  0.00000000E+00
     900 -1.41962459E-01 -4.30060919E-02 -3.22095627E-02  1.51790381E-01  0.00000000E+00
    1000 -1.43919014E-01 -4.96085657E-02 -6.58420294E-02  1.65857967E-01  0.00000000E+00
    1100 -1.29438820E-01 -8.95887059E-02 -1.04410048E-01  1.88896804E-01  0.00000000E+00
    1200 -1.15969669E-01 -3.60026231E-02 -1.16154823E-01  1.68038972E-01  0.00000000E+00
    1300 -1.27914679E-01  1.94907665E-02 -1.15959637E-01  1.73748935E-01  0.00000000E+00
    1400 -1.32465418E-01  2.17452874E-02 -1.28792044E-01  1.86030469E-01  0.00000000E+00
    1500 -1.13275664E-01  3.75551146E-02 -9.76015706E-02  1.54168185E-01  0.00000000E+00
    1600 -8.08857484E-02  5.46483459E-02 -1.19050304E-01  1.53954282E-01  0.00000000E+00
    1700 -6.01228066E-02  5.97057815E-02 -1.50820882E-01  1.72992690E-01  0.00000000E+00
    1800 -7.77614067E-02  2.33675666E-02 -1.37195261E-01  1.59422141E-01  0.00000000E+00
    1900 -1.16497985E-01  6.63433274E-03 -7.60608478E-02  1.39287643E-01  0.00000000E+00
    2000 -1.00639132E-01  2.87954861E-02 -9.32159424E-02  1.40166425E-01  0.00000000E+00
    2100 -1.40684277E-01  4.58536759E-02 -1.06213446E-01  1.82142586E-01  0.00000000E+00
    2200 -1.18650450E-01  6.07558584E-02 -1.14737797E-01  1.75880543E-01  0.00000000E+00
    2300 -8.50242501E-02  7.17070358E-02 -1.26524231E-01  1.68461875E-01  0.00000000E+00
    2400 -7.63965829E-02  6.33881520E-02 -1.45390970E-01  1.76048373E-01  0.00000000E+00
    2500 -7.40316597E-02  3.86341807E-02 -1.57547548E-01  1.78310169E-01  0.00000000E+00
    2600 -1.03888589E-01 -3.14612517E-02 -1.22301907E-01  1.63524939E-01  0.00000000E+00
    2700 -1.02159436E-01 -3.92800384E-02 -1.35022187E-01  1.73811573E-01  0.00000000E+00
    2800 -5.52117210E-02 -7.31272943E-02 -1.16784167E-01  1.48440146E-01  0.00000000E+00
    2900 -1.00238558E-01 -7.61228984E-02 -1.25727652E-01  1.77904207E-01  0.00000000E+00
    3000 -5.92996788E-02 -4.67976605E-02 -1.19906209E-01  1.41717931E-01  0.00000000E+00
    3100 -9.47294009E-02 -4.89542523E-02 -1.27665623E-01  1.66339080E-01  0.00000000E+00
