#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.160372  0.653668  0.013226
    9011  0.160421  0.653675  0.013219
    9021  0.160446  0.653683  0.013212
    9031  0.160475  0.653690  0.013204
    9041  0.160493  0.653698  0.013197
    9051  0.160530  0.653705  0.013190
    9061  0.160551  0.653713  0.013183
    9071  0.160566  0.653721  0.013176
    9081  0.160573  0.653729  0.013169
    9091  0.160573  0.653737  0.013161
    9101  0.160588  0.653745  0.013154
    9111  0.160627  0.653753  0.013146
    9121  0.160663  0.653761  0.013139
    9131  0.160699  0.653769  0.013132
    9141  0.160726  0.653776  0.013125
    9151  0.160758  0.653784  0.013118
    9161  0.160798  0.653792  0.013111
    9171  0.160803  0.653800  0.013104
    9181  0.160806  0.653808  0.013096
    9191  0.160817  0.653816  0.013089
    9201  0.160861  0.653824  0.013082
    9211  0.160884  0.653832  0.013075
    9221  0.160914  0.653840  0.013068
    9231  0.160917  0.653849  0.013061
    9241  0.160933  0.653857  0.013053
    9251  0.160973  0.653865  0.013046
    9261  0.161006  0.653873  0.013039
    9271  0.161042  0.653881  0.013032
    9281  0.161072  0.653889  0.013025
    9291  0.161121  0.653897  0.013019
    9301  0.161143  0.653905  0.013012
    9311  0.161201  0.653912  0.013006
    9321  0.161249  0.653920  0.012999
    9331  0.161281  0.653927  0.012993
    9341  0.161293  0.653935  0.012987
    9351  0.161316  0.653942  0.012981
    9361  0.161342  0.653950  0.012975
    9371  0.161351  0.653957  0.012968
    9381  0.161394  0.653965  0.012962
    9391  0.161414  0.653972  0.012956
    9401  0.161423  0.653980  0.012950
    9411  0.161433  0.653988  0.012943
    9421  0.161465  0.653995  0.012937
    9431  0.161481  0.654003  0.012931
    9441  0.161484  0.654011  0.012924
    9451  0.161494  0.654019  0.012918
    9461  0.161502  0.654026  0.012911
    9471  0.161499  0.654034  0.012905
    9481  0.161495  0.654042  0.012898
    9491  0.161504  0.654050  0.012892
    9501  0.161517  0.654058  0.012885
    9511  0.161557  0.654066  0.012878
    9521  0.161610  0.654074  0.012872
    9531  0.161671  0.654081  0.012866
    9541  0.161711  0.654089  0.012860
    9551  0.161777  0.654095  0.012854
    9561  0.161840  0.654102  0.012849
    9571  0.161880  0.654108  0.012844
    9581  0.161938  0.654115  0.012840
    9591  0.161963  0.654121  0.012835
    9601  0.161989  0.654127  0.012830
    9611  0.162018  0.654133  0.012826
    9621  0.162057  0.654139  0.012821
    9631  0.162093  0.654145  0.012816
    9641  0.162101  0.654152  0.012812
    9651  0.162087  0.654158  0.012807
    9661  0.162094  0.654164  0.012802
    9671  0.162086  0.654170  0.012798
    9681  0.162075  0.654177  0.012793
    9691  0.162045  0.654183  0.012788
    9701  0.162002  0.654189  0.012783
    9711  0.161940  0.654194  0.012779
    9721  0.161871  0.654200  0.012775
    9731  0.161808  0.654205  0.012771
    9741  0.161721  0.654209  0.012769
    9751  0.161611  0.654212  0.012767
    9761  0.161522  0.654214  0.012766
    9771  0.161459  0.654217  0.012765
    9781  0.161390  0.654218  0.012765
    9791  0.161336  0.654220  0.012765
    9801  0.161252  0.654221  0.012766
    9811  0.161178  0.654221  0.012767
    9821  0.161100  0.654221  0.012768
    9831  0.161028  0.654221  0.012770
    9841  0.160958  0.654220  0.012773
    9851  0.160852  0.654218  0.012776
    9861  0.160729  0.654215  0.012781
    9871  0.160627  0.654212  0.012786
    9881  0.160535  0.654207  0.012793
    9891  0.160477  0.654203  0.012799
    9901  0.160426  0.654198  0.012806
    9911  0.160363  0.654193  0.012813
    9921  0.160323  0.654188  0.012820
    9931  0.160279  0.654183  0.012827
    9941  0.160225  0.654178  0.012834
    9951  0.160177  0.654172  0.012841
    9961  0.160121  0.654167  0.012848
    9971  0.160071  0.654161  0.012855
    9981  0.160013  0.654155  0.012863
    9991  0.159936  0.654149  0.012871
