#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    1.56663480E-09  7.84264884E-10  9.41662818E-10  1.98900600E-09
      2 -0.400000 -0.450000 -0.450000        1    3.61701688E-09  1.90051515E-09  4.85924073E-10  4.11471641E-09
      3 -0.350000 -0.450000 -0.450000        1    2.48450381E-09  1.98247889E-09  1.08406829E-09  3.35830103E-09
      4 -0.300000 -0.450000 -0.450000        1    1.72741362E-10  7.35191863E-10  1.09563756E-11  7.55292457E-10
      5 -0.250000 -0.450000 -0.450000        1    2.59486958E-10  1.42956191E-09  1.46133267E-09  2.06069743E-09
      6 -0.200000 -0.450000 -0.450000        1    1.56301776E-10  1.48296103E-10  8.13572688E-10  8.41618975E-10
      7 -0.150000 -0.450000 -0.450000        1    3.26539708E-10  2.61932510E-09  9.89873509E-10  2.81910300E-09
      8 -0.100000 -0.450000 -0.450000        1    9.92455158E-09  1.53881592E-11  1.73599055E-09  1.00752481E-08
      9 -0.050000 -0.450000 -0.450000        1    8.59974699E-09  5.94499173E-10  1.39219420E-09  8.73196898E-09
     10  0.000000 -0.450000 -0.450000        1    3.28279913E-10  6.58338006E-09  3.62384003E-09  7.52202614E-09
     11  0.050000 -0.450000 -0.450000        1    1.94672397E-09  1.54926545E-09  3.43121898E-09  4.23830407E-09
     12  0.100000 -0.450000 -0.450000        1    1.60450406E-09  2.49083843E-09  6.75569116E-09  7.37686060E-09
     13  0.150000 -0.450000 -0.450000        1    1.85803767E-09  6.75867872E-10  1.98846878E-09  2.80412365E-09
     14  0.200000 -0.450000 -0.450000        1    5.28182173E-09  4.06427992E-09  2.19078255E-09  7.01537884E-09
     15  0.250000 -0.450000 -0.450000        1    2.90533162E-09  1.08762259E-08  5.20154529E-10  1.12695964E-08
     16  0.300000 -0.450000 -0.450000        1    2.51261885E-09  4.11747996E-09  1.87738039E-09  5.17604596E-09
     17  0.350000 -0.450000 -0.450000        1    3.24005104E-11  3.52717379E-09  1.27675805E-09  3.75128189E-09
     18  0.400000 -0.450000 -0.450000        1    4.49599711E-09  8.35025939E-10  1.87224455E-09  4.94131136E-09
     19  0.450000 -0.450000 -0.450000        1    3.34467789E-09  2.32017413E-10  3.11458291E-10  3.36715140E-09
     20  0.500000 -0.450000 -0.450000        1    1.56619118E-10  1.63554608E-09  3.15391785E-09  3.55622529E-09
     21 -0.450000 -0.400000 -0.450000        1    2.56344116E-09  9.08959994E-09  1.16730832E-10  9.44487606E-09
     22 -0.400000 -0.400000 -0.450000        1    4.67034477E-09  4.29273951E-10  1.20350507E-09  4.84198522E-09
     23 -0.350000 -0.400000 -0.450000        1    1.87069109E-10  4.46147327E-09  2.98962864E-09  5.37378991E-09
     24 -0.300000 -0.400000 -0.450000        1    3.93591842E-10  2.09138651E-09  4.06961815E-10  2.16666333E-09
     25 -0.250000 -0.400000 -0.450000        1    7.92114457E-10  4.94322819E-09  1.35670965E-09  5.18686912E-09
     26 -0.200000 -0.400000 -0.450000        1    9.11112457E-10  7.46612567E-10  2.70900483E-09  2.95402495E-09
     27 -0.150000 -0.400000 -0.450000        1    6.09527149E-10  9.04241451E-10  3.90518524E-09  4.05458355E-09
     28 -0.100000 -0.400000 -0.450000        1    4.49743023E-10  2.60820139E-09  1.54460495E-09  3.06443922E-09
     29 -0.050000 -0.400000 -0.450000        1    5.37198993E-10  1.32931659E-09  4.52935364E-09  4.75086411E-09
     30  0.000000 -0.400000 -0.450000        1    3.44979231E-09  3.42014726E-09  7.54147241E-10  4.91601589E-09
     31  0.050000 -0.400000 -0.450000        1    2.02983070E-09  1.03031843E-09  2.31146580E-10  2.28805539E-09
     32  0.100000 -0.400000 -0.450000        1    3.16267013E-10  1.16112327E-08  6.12988686E-09  1.31337832E-08
     33  0.150000 -0.400000 -0.450000        1    2.30075782E-09  1.08002453E-10  1.02155313E-09  2.51966702E-09
     34  0.200000 -0.400000 -0.450000        1    1.08354686E-08  2.48758921E-09  4.16311087E-09  1.18712667E-08
     35  0.250000 -0.400000 -0.450000        1    3.22092679E-09  2.77758331E-09  1.33544912E-09  4.45788771E-09
     36  0.300000 -0.400000 -0.450000        1    2.11283999E-09  2.00058970E-09  7.30150865E-09  7.85992878E-09
     37  0.350000 -0.400000 -0.450000        1    7.56599247E-10  3.56400050E-09  4.89072092E-11  3.64375272E-09
     38  0.400000 -0.400000 -0.450000        1    1.72293577E-11  4.13824334E-10  1.25432401E-09  1.32093760E-09
