   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -6.71831098E-03 -7.79604582E-03  5.18097686E-03  1.15220030E-02  0.00000000E+00
     100 -2.91452369E-02 -1.92084389E-02  5.90923087E-03  3.54023723E-02  0.00000000E+00
     200  3.96262266E-03 -4.07054353E-02  4.47687698E-02  6.06372624E-02  0.00000000E+00
     300 -4.43686620E-02 -2.50402194E-02  3.35660046E-02  6.10103878E-02  0.00000000E+00
     400 -4.97590418E-03 -1.86782712E-02  1.67649262E-02  2.55871098E-02  0.00000000E+00
     500 -1.55443344E-03 -2.90477698E-03 -9.16806450E-03  9.74204287E-03  0.00000000E+00
     600  1.57093826E-02 -7.45538343E-03  1.61638354E-02  2.37410408E-02  0.00000000E+00
     700 -1.63866421E-02  5.45644548E-03 -1.67660489E-03  1.73524015E-02  0.00000000E+00
     800 -5.40182036E-02  6.21807022E-03  1.36600235E-02  5.60644892E-02  0.00000000E+00
     900 -3.37509857E-02  2.70613593E-02  4.98692480E-02  6.60180891E-02  0.00000000E+00
    1000  5.83589544E-03  2.12202570E-02  2.91218813E-02  3.65026157E-02  0.00000000E+00
    1100 -1.24357801E-02 -3.95813548E-02 -3.60274641E-02  5.49482524E-02  0.00000000E+00
    1200 -3.25486319E-02 -2.28203910E-02 -5.62108401E-02  6.88465121E-02  0.00000000E+00
    1300 -4.27342501E-02  4.06623633E-02 -4.99431845E-02  7.72914329E-02  0.00000000E+00
    1400 -3.13967112E-02  2.92217576E-02 -4.37388879E-02  6.12597332E-02  0.00000000E+00
    1500 -2.34399649E-02  1.20973408E-02 -1.62861273E-02  3.10002508E-02  0.00000000E+00
    1600  1.08269835E-02  2.02105472E-02 -2.84832773E-02  3.65648311E-02  0.00000000E+00
    1700 -7.88991908E-04  2.00387882E-02 -4.29173492E-02  4.73716625E-02  0.00000000E+00
    1800 -1.07209086E-02 -1.45724214E-02 -1.19295271E-02  2.16704167E-02  0.00000000E+00
    1900 -4.08320965E-03 -3.81549280E-02  2.59451229E-02  4.63208434E-02  0.00000000E+00
    2000  3.76522950E-03 -3.03568850E-02  1.56267687E-02  3.43498664E-02  0.00000000E+00
    2100 -3.76268692E-02 -1.77956629E-03 -7.56009159E-03  3.84200876E-02  0.00000000E+00
    2200 -7.53745713E-03  1.65514115E-02 -3.81057435E-02  4.22233368E-02  0.00000000E+00
    2300  2.34972783E-02  3.40559313E-02 -4.19331865E-02  5.89094277E-02  0.00000000E+00
    2400  2.77716933E-03  4.57285578E-02 -6.47817827E-02  7.93441430E-02  0.00000000E+00
    2500  2.47852303E-03  5.13023896E-02 -6.98176195E-02  8.66751306E-02  0.00000000E+00
    2600 -4.53276436E-02 -3.07547634E-02 -2.94696466E-02  6.22005692E-02  0.00000000E+00
    2700 -2.38953371E-02 -3.19604042E-02 -6.10005780E-02  7.28939304E-02  0.00000000E+00
    2800  3.77325099E-02 -4.22745194E-02 -9.74595566E-03  5.74966168E-02  0.00000000E+00
    2900  2.53249168E-02 -2.40242622E-02  2.99154134E-02  4.59722585E-02  0.00000000E+00
    3000  2.18221020E-02 -2.48896221E-02  2.77557602E-02  4.31981440E-02  0.00000000E+00
    3100  2.47826201E-02 -9.78494513E-03  2.72556054E-02  3.81155012E-02  0.00000000E+00
    3200  1.53211319E-02 -5.03049341E-02  4.87231063E-02  7.16886641E-02  0.00000000E+00
    3300 -1.42064563E-02  1.09673590E-02  3.74676458E-02  4.15443238E-02  0.00000000E+00
    3400 -1.84116456E-02 -4.71109417E-02  3.35616619E-02  6.07026743E-02  0.00000000E+00
    3500  3.43325277E-03 -4.91593947E-02  1.01574710E-02  5.03150826E-02  0.00000000E+00
    3600  3.63997411E-02 -5.26996886E-02  1.10246479E-02  6.49903162E-02  0.00000000E+00
    3700  8.79539456E-03 -2.71899117E-02  5.47553308E-03  2.90969367E-02  0.00000000E+00
    3800  1.05508942E-02 -4.32360667E-02  1.11176435E-03  4.45187023E-02  0.00000000E+00
    3900  1.96394542E-02 -5.70611252E-02  5.55822452E-03  6.06017659E-02  0.00000000E+00
    4000  4.18328772E-02 -2.36631811E-02 -5.37442360E-03  4.83613501E-02  0.00000000E+00
    4100  2.63897575E-02 -4.02641935E-02 -4.67187425E-03  4.83678714E-02  0.00000000E+00
    4200  3.19281286E-02 -4.16352390E-02 -6.08981136E-03  5.28203022E-02  0.00000000E+00
    4300  1.16532788E-02 -2.54603090E-02 -2.23938425E-03  2.80898751E-02  0.00000000E+00
    4400  2.77678110E-03 -4.37643105E-02 -1.95681809E-02  4.80201946E-02  0.00000000E+00
    4500 -5.11724127E-02 -2.72460741E-02 -7.89359321E-03  5.85087445E-02  0.00000000E+00
    4600  5.50751035E-04 -3.30028241E-02 -4.55942070E-02  5.62878445E-02  0.00000000E+00
    4700 -1.20820657E-02 -3.49585820E-02 -1.28242439E-02  3.91476692E-02  0.00000000E+00
    4800 -5.30997700E-02 -8.86125809E-03 -2.09305929E-02  5.77598233E-02  0.00000000E+00
    4900 -6.30669361E-02 -4.91454934E-03  3.11781383E-03  6.33349192E-02  0.00000000E+00
    5000 -6.22127873E-03  3.19298259E-03  2.60377843E-02  2.69604461E-02  0.00000000E+00
    5100 -7.09591330E-03 -6.69620924E-02  1.90519613E-02  6.99803618E-02  0.00000000E+00
    5200 -1.64558055E-02  6.46461956E-03  4.10011427E-02  4.46506276E-02  0.00000000E+00
    5300 -1.54300984E-02  1.12158429E-02  1.88315919E-02  2.68050727E-02  0.00000000E+00
    5400 -3.80197441E-02  3.37888026E-02 -4.15952636E-03  5.10341629E-02  0.00000000E+00
    5500  1.53607398E-02  3.88141562E-03 -3.50227690E-02  3.84397198E-02  0.00000000E+00
    5600  2.12936797E-03 -3.43776170E-03 -4.03514041E-03  5.71268515E-03  0.00000000E+00
    5700  7.44372159E-03 -1.81099341E-03 -1.43605971E-03  7.79428994E-03  0.00000000E+00
    5800 -1.21309254E-02  6.03159524E-03 -5.61145187E-02  5.77267590E-02  0.00000000E+00
    5900  8.84706578E-03 -1.27381372E-02 -7.48391615E-02  7.64292536E-02  0.00000000E+00
    6000  3.31526125E-02  1.56070043E-02 -6.87822701E-02  7.79337858E-02  0.00000000E+00
    6100  1.73764859E-02  3.76056416E-02  1.59556247E-03  4.14568736E-02  0.00000000E+00
    6200  2.53596125E-02  1.04810793E-03 -1.29796986E-02  2.85075613E-02  0.00000000E+00
    6300 -5.13494977E-03  3.50657030E-03 -3.06430117E-02  3.12675216E-02  0.00000000E+00
    6400 -3.46047346E-02 -1.01398720E-02 -1.08221890E-02  3.76486977E-02  0.00000000E+00
    6500 -7.26210846E-03  2.47830118E-02 -3.69091974E-02  4.50469171E-02  0.00000000E+00
    6600 -3.99313924E-02  2.82577802E-02 -1.95844227E-02  5.26931480E-02  0.00000000E+00
    6700  2.15067175E-02 -3.87489028E-03  1.29813302E-02  2.54178796E-02  0.00000000E+00
    6800  4.11717690E-02 -5.49312350E-03  2.63177632E-02  4.91722852E-02  0.00000000E+00
    6900  2.03257847E-02  1.49401707E-02  5.47414316E-02  6.02741285E-02  0.00000000E+00
    7000  2.88517899E-02 -1.77952070E-02  7.40546195E-02  8.14443481E-02  0.00000000E+00
    7100 -2.77774851E-02  4.31698290E-02  7.39377288E-02  9.00111691E-02  0.00000000E+00
    7200 -2.39705409E-02  2.46727889E-02  4.27095484E-02  5.48401210E-02  0.00000000E+00
    7300 -3.84715280E-02  3.07306737E-02  7.12773360E-02  8.66307763E-02  0.00000000E+00
    7400 -3.65788781E-02  2.20010341E-02  4.31299513E-02  6.06815666E-02  0.00000000E+00
    7500 -5.22903829E-03  1.45015316E-02  5.13833561E-02  5.36459369E-02  0.00000000E+00
    7600  2.40478069E-02 -2.16844688E-02  2.05663882E-02  3.83599991E-02  0.00000000E+00
    7700  1.09437424E-02 -4.26911928E-02  2.74474572E-02  5.19198069E-02  0.00000000E+00
    7800  3.15399203E-02 -9.43387106E-03  1.66100578E-02  3.68735476E-02  0.00000000E+00
    7900  4.91128020E-03 -3.00596947E-02 -1.44080254E-02  3.36941703E-02  0.00000000E+00
    8000  1.67331660E-02 -9.84964289E-03 -4.79991936E-02  5.17777645E-02  0.00000000E+00
    8100  2.59283035E-02  3.30579073E-02 -6.06918456E-03  4.24492304E-02  0.00000000E+00
    8200 -2.85424662E-03  2.17410068E-02 -2.98099608E-02  3.70061058E-02  0.00000000E+00
    8300  6.93450033E-03  3.19610917E-02 -4.10962246E-02  5.25214085E-02  0.00000000E+00
    8400 -1.36128781E-03  2.56311506E-02 -1.27131657E-02  2.86432116E-02  0.00000000E+00
    8500  3.69894456E-02  2.05882943E-02  3.35369268E-02  5.40076143E-02  0.00000000E+00
    8600  9.63006906E-03  4.27871788E-02  1.90988984E-02  4.78356438E-02  0.00000000E+00
    8700 -3.96880271E-03  6.10519735E-02 -2.36088326E-03  6.12263720E-02  0.00000000E+00
    8800  9.10972388E-03  3.18253859E-02  5.32336628E-03  3.35288008E-02  0.00000000E+00
    8900 -9.33444941E-04  2.77465684E-02  1.20310929E-02  3.02570747E-02  0.00000000E+00
    9000 -4.27287304E-02  3.85616296E-02 -1.35467950E-02  5.91291749E-02  0.00000000E+00
    9100 -3.37662121E-02  3.22814700E-02 -6.68163219E-03  4.71899840E-02  0.00000000E+00
    9200 -1.98325727E-02  4.71981951E-02  1.23474574E-02  5.26636522E-02  0.00000000E+00
    9300  7.47663240E-04  6.85891719E-02  5.34151917E-03  6.88009108E-02  0.00000000E+00
    9400  5.38880509E-03  5.89774999E-02  3.99177242E-02  7.14199511E-02  0.00000000E+00
    9500 -1.16455409E-02  5.58997993E-02  3.47547740E-02  6.68453476E-02  0.00000000E+00
    9600 -2.69824526E-02  6.96812568E-02  1.78532507E-02  7.68262251E-02  0.00000000E+00
    9700 -1.11819796E-02  5.65761177E-02  4.75845512E-02  7.47675282E-02  0.00000000E+00
    9800 -8.88286124E-03  1.31418453E-02  4.13978752E-02  4.43328027E-02  0.00000000E+00
    9900 -4.44220094E-02  2.57224973E-02  2.56149399E-02  5.73679957E-02  0.00000000E+00
   10000 -3.13415221E-02 -5.17066503E-03  2.90263120E-02  4.30296824E-02  0.00000000E+00
   10100 -3.90762067E-02  2.50319183E-03  3.37506534E-02  5.16945114E-02  0.00000000E+00
   10200  3.53968108E-02 -1.12451495E-02  5.93912390E-02  7.00478898E-02  0.00000000E+00
   10300 -7.83929113E-03 -1.73744551E-02  7.78027154E-02  8.01036123E-02  0.00000000E+00
   10400  4.62761336E-02 -2.96450079E-02  7.92209401E-02  9.64171375E-02  0.00000000E+00
   10500  5.68884351E-02  3.30308883E-03  8.45934738E-02  1.01996374E-01  0.00000000E+00
   10600  4.59476411E-02 -2.21170745E-02  7.12600287E-02  8.76261513E-02  0.00000000E+00
   10700  3.55228062E-03  2.90945737E-02  6.14707180E-02  6.81011166E-02  0.00000000E+00
   10800  2.36237587E-02  3.56773526E-02  5.44751589E-02  6.92711946E-02  0.00000000E+00
   10900  4.64118257E-02  2.68755466E-02  2.37990332E-02  5.86749227E-02  0.00000000E+00
   11000  2.89812000E-02  4.95995408E-02  2.55286820E-02  6.28628508E-02  0.00000000E+00
   11100  1.59308235E-02 -9.03286525E-03  2.65819975E-02  3.22798139E-02  0.00000000E+00
   11200 -1.40764040E-02  3.46901557E-02  4.37424009E-02  5.75755998E-02  0.00000000E+00
   11300 -3.66752008E-02  1.59743960E-03  1.18809860E-02  3.85847119E-02  0.00000000E+00
   11400  1.63193460E-02 -5.68921226E-02 -5.14269658E-03  5.94094437E-02  0.00000000E+00
   11500  2.98005691E-02 -5.72681654E-02  2.96521864E-06  6.45578554E-02  0.00000000E+00
   11600  3.93221930E-02 -1.26299919E-02 -9.70672899E-03  4.24260786E-02  0.00000000E+00
   11700  1.05555755E-02 -1.93819493E-02  9.40168830E-03  2.39889949E-02  0.00000000E+00
   11800 -1.04547687E-02 -1.82136938E-03 -1.55723435E-02  1.88445604E-02  0.00000000E+00
   11900 -2.01705903E-02  3.37461552E-02 -2.76489418E-03  3.94119315E-02  0.00000000E+00
   12000 -3.07080458E-02  4.27308663E-02 -1.19527876E-02  5.39609131E-02  0.00000000E+00
