   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.63496436E-02  6.94303718E-04  4.82057653E-07  6.66666667E-01 -5.60497940E-18  2.02008412E-15 -3.17022857E-01 -3.14275398E-01  0.00000000E+00
      11  2.88371784E-02  1.01283361E-03  1.85001949E-06  3.98855548E-01  2.09357551E-02  5.42138940E-01 -3.22412077E-01 -3.19780426E-01  0.00000000E+00
      21  2.46134867E-02  7.02117178E-04  8.61023199E-07  4.17797050E-01  1.11225809E-02  7.32124112E-01 -3.17646936E-01 -3.14928522E-01  0.00000000E+00
      31  2.56534964E-02  8.34828836E-04  1.52451588E-06  2.70851790E-01  2.04132251E-02  6.60871579E-01 -3.19109398E-01 -3.16442119E-01  0.00000000E+00
      41  2.40464065E-02  7.30750961E-04  1.13550817E-06  2.91189377E-01  1.76172981E-02  9.17054892E-01 -3.20076764E-01 -3.17433446E-01  0.00000000E+00
      51  2.96967239E-02  1.05681624E-03  1.80784366E-06  4.60438866E-01  2.02046044E-02  9.93006078E-01 -3.21118829E-01 -3.18440932E-01  0.00000000E+00
      61  3.28587724E-02  1.28008541E-03  2.46753766E-06  4.98045171E-01  2.31460702E-02  8.93880365E-01 -3.20952406E-01 -3.18305436E-01  0.00000000E+00
      71  3.08607079E-02  1.11988049E-03  1.95881772E-06  4.79369734E-01  1.93471218E-02  7.40203318E-01 -3.20729411E-01 -3.18078349E-01  0.00000000E+00
      81  2.95970457E-02  1.03338960E-03  1.69984056E-06  4.69410371E-01  1.81813421E-02  6.67265423E-01 -3.21450569E-01 -3.18814400E-01  0.00000000E+00
      91  2.80525171E-02  9.38735425E-04  1.46466060E-06  4.45975041E-01  1.75330259E-02  6.29496542E-01 -3.20696744E-01 -3.18075981E-01  0.00000000E+00
     101  2.78224031E-02  9.21864949E-04  1.42442206E-06  4.41294649E-01  1.70695102E-02  7.27443080E-01 -3.19987633E-01 -3.17334494E-01  0.00000000E+00
     111  2.81742523E-02  9.34714700E-04  1.41370377E-06  4.60639652E-01  1.62779826E-02  7.05481146E-01 -3.19971310E-01 -3.17317261E-01  0.00000000E+00
     121  2.69926811E-02  8.61246423E-04  1.23849930E-06  4.43430186E-01  1.53210503E-02  6.71010004E-01 -3.19621782E-01 -3.16968071E-01  0.00000000E+00
     131  2.68914399E-02  8.58353971E-04  1.24478796E-06  4.36827704E-01  1.56170765E-02  6.85702739E-01 -3.19892975E-01 -3.17220126E-01  0.00000000E+00
     141  2.74791732E-02  8.89297695E-04  1.29699606E-06  4.53332734E-01  1.55002185E-02  6.54380956E-01 -3.20021324E-01 -3.17343894E-01  0.00000000E+00
     151  2.76118571E-02  8.95925322E-04  1.28766294E-06  4.65266592E-01  1.54214355E-02  7.03193565E-01 -3.19877417E-01 -3.17206108E-01  0.00000000E+00
     161  2.66231761E-02  8.41657530E-04  1.17345471E-06  4.47828165E-01  1.53467434E-02  6.90618719E-01 -3.19863456E-01 -3.17195166E-01  0.00000000E+00
     171  2.73799692E-02  8.91728783E-04  1.34744193E-06  4.35162876E-01  1.64096451E-02  8.78914541E-01 -3.20644427E-01 -3.17973961E-01  0.00000000E+00
