#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    1.74785331E-10  1.49190054E-09  6.14369798E-09  6.32466141E-09
      2 -0.400000 -0.450000 -0.450000        1    3.81302801E-10  1.34801391E-09  1.15045192E-09  1.81275286E-09
      3 -0.350000 -0.450000 -0.450000        1    2.94603278E-09  3.32569664E-10  1.36090069E-09  3.26217142E-09
      4 -0.300000 -0.450000 -0.450000        1    1.39705557E-09  1.10886855E-09  1.75885199E-09  2.50497785E-09
      5 -0.250000 -0.450000 -0.450000        1    2.41988561E-09  6.91441734E-09  1.46160976E-09  7.47002789E-09
      6 -0.200000 -0.450000 -0.450000        1    2.00365980E-09  1.35167570E-10  1.53747429E-09  2.52917972E-09
      7 -0.150000 -0.450000 -0.450000        1    1.18727060E-09  9.35162764E-10  7.82997921E-09  7.97450408E-09
      8 -0.100000 -0.450000 -0.450000        1    6.71080665E-09  8.74144455E-10  3.94842239E-09  7.83511926E-09
      9 -0.050000 -0.450000 -0.450000        1    7.39494351E-09  1.31490968E-09  2.63290508E-09  7.95904304E-09
     10  0.000000 -0.450000 -0.450000        1    6.78093892E-10  1.04197411E-08  9.25075391E-10  1.04826800E-08
     11  0.050000 -0.450000 -0.450000        1    1.01599233E-08  1.68941494E-09  3.70598162E-09  1.09458880E-08
     12  0.100000 -0.450000 -0.450000        1    1.19804991E-08  3.05825181E-09  1.40696220E-09  1.24444689E-08
     13  0.150000 -0.450000 -0.450000        1    3.17628066E-10  1.63373729E-09  2.99243517E-09  3.42412812E-09
     14  0.200000 -0.450000 -0.450000        1    3.22991009E-09  3.70711472E-10  1.64445145E-09  3.64334554E-09
     15  0.250000 -0.450000 -0.450000        1    4.39076518E-10  7.40346927E-10  1.39955847E-09  1.64306594E-09
     16  0.300000 -0.450000 -0.450000        1    7.05335387E-10  2.38628162E-09  4.43641507E-09  5.08661151E-09
     17  0.350000 -0.450000 -0.450000        1    1.92723154E-09  1.22495913E-10  4.74144490E-10  1.98847672E-09
     18  0.400000 -0.450000 -0.450000        1    1.41934572E-09  1.27720112E-10  3.46662924E-09  3.74811592E-09
