   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  1.80674520E-02  3.26432823E-04  1.06558388E-07  6.66666667E-01  1.19944241E-18 -1.10928650E-13 -3.02884095E-01 -3.00240630E-01  0.00000000E+00
      11  2.09709155E-02  4.90877551E-04  2.98642873E-07  5.86872070E-01  5.67520478E-03  4.64821617E-01 -2.99036021E-01 -2.96490633E-01  0.00000000E+00
      21  1.81977223E-02  3.84946294E-04  2.22559610E-07  4.99360847E-01  5.97407314E-03  2.98583256E-01 -2.97033633E-01 -2.94309947E-01  0.00000000E+00
      31  2.14121512E-02  5.70790669E-04  6.74749149E-07  3.09653129E-01  1.24737102E-02  4.44789297E-01 -2.98249135E-01 -2.95538549E-01  0.00000000E+00
      41  2.28357654E-02  6.06508720E-04  6.16178105E-07  4.41644357E-01  9.44454535E-03  4.41727123E-01 -2.98805309E-01 -2.96150333E-01  0.00000000E+00
      51  2.42937596E-02  6.68252282E-04  6.63215627E-07  5.04945976E-01  8.67031300E-03  4.85676750E-01 -2.99084588E-01 -2.96449412E-01  0.00000000E+00
      61  2.47365055E-02  6.90917260E-04  7.25207146E-07  4.93605784E-01  8.77660510E-03  5.17379757E-01 -2.99619889E-01 -2.96949518E-01  0.00000000E+00
      71  2.31978121E-02  6.19660828E-04  6.13973552E-07  4.67008451E-01  9.05424266E-03  5.42318456E-01 -2.98830938E-01 -2.96242043E-01  0.00000000E+00
      81  2.33711291E-02  6.27251080E-04  6.03466458E-07  4.88731489E-01  9.00082777E-03  5.52247956E-01 -2.99651389E-01 -2.97035129E-01  0.00000000E+00
      91  2.14034074E-02  5.42278962E-04  4.94633590E-07  4.39317710E-01  9.34864963E-03  5.51811972E-01 -2.99274541E-01 -2.96688012E-01  0.00000000E+00
     101  2.07299018E-02  5.17541193E-04  4.62354596E-07  4.24607656E-01  9.75284143E-03  6.45502582E-01 -2.98934968E-01 -2.96317685E-01  0.00000000E+00
     111  2.16901398E-02  5.61577085E-04  5.25114256E-07  4.44973401E-01  1.01196383E-02  5.89862445E-01 -2.99121413E-01 -2.96500359E-01  0.00000000E+00
     121  2.08955521E-02  5.25493604E-04  4.69922645E-07  4.32755557E-01  9.87025198E-03  5.68986522E-01 -2.98988267E-01 -2.96359118E-01  0.00000000E+00
     131  2.07949727E-02  5.32751046E-04  5.10670659E-07  4.00248933E-01  1.11420133E-02  6.21364578E-01 -2.99049900E-01 -2.96409861E-01  0.00000000E+00
     141  2.14270387E-02  5.56315488E-04  5.28571867E-07  4.30700913E-01  1.07951971E-02  5.98117075E-01 -2.99281735E-01 -2.96622462E-01  0.00000000E+00
     151  2.17842193E-02  5.83207969E-04  6.01728295E-07  4.10298435E-01  1.20678034E-02  6.48962483E-01 -2.99079659E-01 -2.96444610E-01  0.00000000E+00
     161  2.07716054E-02  5.39535399E-04  5.38858180E-07  3.82959973E-01  1.20033916E-02  6.01518143E-01 -2.99209156E-01 -2.96573451E-01  0.00000000E+00
     171  2.13534647E-02  5.63376684E-04  5.66750231E-07  4.04786581E-01  1.19290249E-02  7.08658800E-01 -2.99728773E-01 -2.97084244E-01  0.00000000E+00
     181  2.15744112E-02  5.68470999E-04  5.62346824E-07  4.19948754E-01  1.14414016E-02  6.47152104E-01 -2.99685687E-01 -2.97017483E-01  0.00000000E+00
     191  2.16960389E-02  5.69096030E-04  5.48980449E-07  4.34979101E-01  1.09263008E-02  6.38338396E-01 -2.99478437E-01 -2.96838847E-01  0.00000000E+00
     201  2.14738552E-02  5.54640783E-04  5.19890939E-07  4.36664146E-01  1.03861270E-02  6.34851901E-01 -2.99396002E-01 -2.96747192E-01  0.00000000E+00
     211  2.21288299E-02  5.85846919E-04  5.69308934E-07  4.47084909E-01  1.06801685E-02  6.17168856E-01 -2.99500675E-01 -2.96871332E-01  0.00000000E+00
     221  2.21813079E-02  5.94593307E-04  6.16545268E-07  4.18695505E-01  1.13933225E-02  6.33308440E-01 -2.99744308E-01 -2.97131140E-01  0.00000000E+00
     231  2.29436034E-02  6.39078672E-04  7.47673831E-07  3.89785844E-01  1.25136139E-02  6.34190690E-01 -2.99867558E-01 -2.97258000E-01  0.00000000E+00
     241  2.26454165E-02  6.21760632E-04  7.11227744E-07  3.86745147E-01  1.21000107E-02  6.72613796E-01 -2.99398310E-01 -2.96775825E-01  0.00000000E+00
     251  2.29674439E-02  6.39490834E-04  7.53499962E-07  3.85823305E-01  1.24378259E-02  6.45090158E-01 -2.99439574E-01 -2.96809769E-01  0.00000000E+00
     261  2.25859733E-02  6.20424189E-04  7.16447893E-07  3.79579825E-01  1.22501984E-02  6.35661337E-01 -2.99474762E-01 -2.96840724E-01  0.00000000E+00
     271  2.26192085E-02  6.16449552E-04  6.94098473E-07  3.91157792E-01  1.16418930E-02  6.36707037E-01 -2.99298770E-01 -2.96661305E-01  0.00000000E+00
     281  2.22485685E-02  6.02007831E-04  6.70623911E-07  3.83187029E-01  1.18849102E-02  6.17233275E-01 -2.99326688E-01 -2.96669696E-01  0.00000000E+00
     291  2.24123159E-02  6.08151148E-04  6.81680287E-07  3.85620921E-01  1.17549886E-02  6.04902088E-01 -2.99201487E-01 -2.96538197E-01  0.00000000E+00
     301  2.26133305E-02  6.17640588E-04  6.96065739E-07  3.91784691E-01  1.18037047E-02  6.41620945E-01 -2.99091147E-01 -2.96430946E-01  0.00000000E+00
     311  2.26137781E-02  6.14332932E-04  6.77153711E-07  4.01921191E-01  1.14340928E-02  6.29191793E-01 -2.99171682E-01 -2.96521940E-01  0.00000000E+00
     321  2.25988156E-02  6.09508122E-04  6.57558757E-07  4.09996868E-01  1.09733620E-02  6.42979043E-01 -2.99329544E-01 -2.96686610E-01  0.00000000E+00
     331  2.23896610E-02  5.96992999E-04  6.30550931E-07  4.10260197E-01  1.06284424E-02  6.41069331E-01 -2.99444344E-01 -2.96799021E-01  0.00000000E+00
     341  2.29408051E-02  6.30771477E-04  7.13921130E-07  4.01884733E-01  1.16052398E-02  6.31178943E-01 -2.99523159E-01 -2.96876563E-01  0.00000000E+00
     351  2.28163253E-02  6.21850406E-04  6.90359455E-07  4.04910649E-01  1.12470303E-02  6.23322680E-01 -2.99471038E-01 -2.96824074E-01  0.00000000E+00
     361  2.26580679E-02  6.15938707E-04  6.77701514E-07  4.04554241E-01  1.13897441E-02  6.14583945E-01 -2.99390147E-01 -2.96744104E-01  0.00000000E+00
     371  2.26803340E-02  6.13278112E-04  6.63238398E-07  4.12194729E-01  1.09821257E-02  5.99323488E-01 -2.99385978E-01 -2.96741837E-01  0.00000000E+00
     381  2.25720503E-02  6.06502955E-04  6.47742777E-07  4.13030571E-01  1.07738728E-02  5.99832691E-01 -2.99401303E-01 -2.96752025E-01  0.00000000E+00
     391  2.25264246E-02  6.05107271E-04  6.46282503E-07  4.11649128E-01  1.08473935E-02  6.03989757E-01 -2.99406123E-01 -2.96751491E-01  0.00000000E+00
     401  2.22184186E-02  5.90861340E-04  6.22157784E-07  4.05970334E-01  1.07958319E-02  6.09625107E-01 -2.99421669E-01 -2.96764576E-01  0.00000000E+00
     411  2.23258465E-02  5.97819119E-04  6.33673317E-07  4.08976751E-01  1.10371175E-02  6.13792299E-01 -2.99445114E-01 -2.96786543E-01  0.00000000E+00
     421  2.21691999E-02  5.89201467E-04  6.15135685E-07  4.09361124E-01  1.08541214E-02  6.22845573E-01 -2.99305958E-01 -2.96647034E-01  0.00000000E+00
     431  2.22865872E-02  5.95492135E-04  6.26455659E-07  4.11133264E-01  1.09731963E-02  6.15711662E-01 -2.99390999E-01 -2.96737797E-01  0.00000000E+00
     441  2.22772837E-02  5.95447011E-04  6.26871324E-07  4.10653227E-01  1.10142321E-02  6.16360812E-01 -2.99458483E-01 -2.96811268E-01  0.00000000E+00
     451  2.21084592E-02  5.86184075E-04  6.09112306E-07  4.09108030E-01  1.08176996E-02  6.05518464E-01 -2.99468973E-01 -2.96816943E-01  0.00000000E+00
     461  2.20890466E-02  5.84627882E-04  6.01457734E-07  4.13423296E-01  1.07401540E-02  6.01791121E-01 -2.99477916E-01 -2.96819809E-01  0.00000000E+00
     471  2.20587330E-02  5.81257505E-04  5.90809446E-07  4.17106747E-01  1.05144598E-02  5.90399767E-01 -2.99502441E-01 -2.96839140E-01  0.00000000E+00
     481  2.20391344E-02  5.79376916E-04  5.83552204E-07  4.20523159E-01  1.04015809E-02  5.73702260E-01 -2.99422118E-01 -2.96758984E-01  0.00000000E+00
     491  2.20569170E-02  5.78030239E-04  5.75494377E-07  4.25858800E-01  1.01649226E-02  5.68064066E-01 -2.99470383E-01 -2.96806110E-01  0.00000000E+00
     501  2.19405860E-02  5.72714756E-04  5.65693534E-07  4.25112038E-01  1.01430194E-02  5.60963321E-01 -2.99507205E-01 -2.96840054E-01  0.00000000E+00
     511  2.19493710E-02  5.75357237E-04  5.81707435E-07  4.14255526E-01  1.03936819E-02  5.73710260E-01 -2.99609223E-01 -2.96943613E-01  0.00000000E+00
     521  2.18873945E-02  5.71429706E-04  5.71948266E-07  4.16138463E-01  1.02592184E-02  6.04002482E-01 -2.99776244E-01 -2.97109850E-01  0.00000000E+00
     531  2.18358151E-02  5.68567117E-04  5.65326643E-07  4.17072261E-01  1.01917606E-02  6.04054306E-01 -2.99796155E-01 -2.97126132E-01  0.00000000E+00
     541  2.17949956E-02  5.65599798E-04  5.57050809E-07  4.19563033E-01  1.00600013E-02  5.94891772E-01 -2.99724524E-01 -2.97047872E-01  0.00000000E+00
     551  2.18756571E-02  5.69681351E-04  5.64881709E-07  4.19807310E-01  1.01220881E-02  6.14671989E-01 -2.99731298E-01 -2.97056912E-01  0.00000000E+00
     561  2.18028424E-02  5.65263154E-04  5.55561782E-07  4.20424856E-01  9.98461669E-03  6.07002858E-01 -2.99677970E-01 -2.97003253E-01  0.00000000E+00
     571  2.19562728E-02  5.71256444E-04  5.59030551E-07  4.28979021E-01  9.90457357E-03  5.99822349E-01 -2.99639223E-01 -2.96965917E-01  0.00000000E+00
     581  2.20607614E-02  5.74195093E-04  5.57826285E-07  4.36026412E-01  9.72013680E-03  6.04032309E-01 -2.99673243E-01 -2.97002193E-01  0.00000000E+00
     591  2.19534489E-02  5.68158862E-04  5.47064269E-07  4.35092260E-01  9.57431380E-03  6.07317376E-01 -2.99651142E-01 -2.96975369E-01  0.00000000E+00
     601  2.20835212E-02  5.72385529E-04  5.47497461E-07  4.42963615E-01  9.40756999E-03  5.94311886E-01 -2.99688466E-01 -2.97011334E-01  0.00000000E+00
     611  2.20824025E-02  5.74001135E-04  5.50324052E-07  4.43235243E-01  9.59249426E-03  6.00550444E-01 -2.99594306E-01 -2.96909285E-01  0.00000000E+00
     621  2.21520442E-02  5.76570566E-04  5.51488624E-07  4.47018799E-01  9.53572539E-03  5.92689041E-01 -2.99547267E-01 -2.96858000E-01  0.00000000E+00
     631  2.22130632E-02  5.81760962E-04  5.68530559E-07  4.40057530E-01  9.81153018E-03  5.92479416E-01 -2.99549001E-01 -2.96866494E-01  0.00000000E+00
     641  2.20342730E-02  5.73752610E-04  5.56427726E-07  4.36572347E-01  9.80071683E-03  6.02148697E-01 -2.99465991E-01 -2.96785728E-01  0.00000000E+00
     651  2.21914767E-02  5.85075366E-04  5.95327297E-07  4.20289834E-01  1.02861024E-02  6.08221151E-01 -2.99498128E-01 -2.96819161E-01  0.00000000E+00
     661  2.20546818E-02  5.77405939E-04  5.81412828E-07  4.18699280E-01  1.01065356E-02  5.99069815E-01 -2.99441540E-01 -2.96764100E-01  0.00000000E+00
     671  2.20886672E-02  5.78961493E-04  5.82736198E-07  4.20502746E-01  1.01126804E-02  5.92717160E-01 -2.99426904E-01 -2.96747967E-01  0.00000000E+00
     681  2.20850930E-02  5.79572798E-04  5.82700763E-07  4.21759716E-01  1.01981101E-02  5.95682086E-01 -2.99355203E-01 -2.96680224E-01  0.00000000E+00
     691  2.23112085E-02  5.91859535E-04  6.07836206E-07  4.21600361E-01  1.04477885E-02  5.99100637E-01 -2.99349309E-01 -2.96678313E-01  0.00000000E+00
     701  2.22641449E-02  5.90011521E-04  6.05543223E-07  4.20167025E-01  1.04755392E-02  5.99495631E-01 -2.99351394E-01 -2.96677882E-01  0.00000000E+00
     711  2.21794779E-02  5.85505603E-04  5.97158033E-07  4.19361388E-01  1.03930174E-02  6.01823324E-01 -2.99355421E-01 -2.96683772E-01  0.00000000E+00
     721  2.21658905E-02  5.83999831E-04  5.92220429E-07  4.21189119E-01  1.02927001E-02  6.09025601E-01 -2.99403156E-01 -2.96729180E-01  0.00000000E+00
     731  2.22236600E-02  5.86761523E-04  5.97139817E-07  4.21861992E-01  1.03146162E-02  6.05856195E-01 -2.99452413E-01 -2.96771360E-01  0.00000000E+00
     741  2.23362038E-02  5.92119107E-04  6.04859031E-07  4.24937877E-01  1.03526720E-02  5.99572688E-01 -2.99468559E-01 -2.96789103E-01  0.00000000E+00
     751  2.23191475E-02  5.90921088E-04  6.01638938E-07  4.25677668E-01  1.03042075E-02  5.93128700E-01 -2.99458513E-01 -2.96783381E-01  0.00000000E+00
     761  2.23583712E-02  5.92666547E-04  6.03266872E-07  4.27510675E-01  1.03034350E-02  5.87217609E-01 -2.99460998E-01 -2.96785505E-01  0.00000000E+00
     771  2.23529501E-02  5.90728255E-04  5.96015637E-07  4.30674139E-01  1.01150797E-02  5.84531289E-01 -2.99475640E-01 -2.96801603E-01  0.00000000E+00
     781  2.24419225E-02  5.93829990E-04  5.96655900E-07  4.36000874E-01  1.00169236E-02  5.82635092E-01 -2.99454784E-01 -2.96778965E-01  0.00000000E+00
     791  2.24024787E-02  5.91662548E-04  5.91438134E-07  4.36829485E-01  9.97265233E-03  5.89205961E-01 -2.99461079E-01 -2.96789437E-01  0.00000000E+00
     801  2.23071884E-02  5.88202269E-04  5.86414859E-07  4.35023583E-01  1.00615176E-02  5.84894570E-01 -2.99460980E-01 -2.96791989E-01  0.00000000E+00
     811  2.24143705E-02  5.95077099E-04  6.04380547E-07  4.31091074E-01  1.02926961E-02  6.03417932E-01 -2.99467256E-01 -2.96796211E-01  0.00000000E+00
     821  2.25405363E-02  6.02094547E-04  6.21120156E-07  4.28883141E-01  1.04421529E-02  5.97376030E-01 -2.99488363E-01 -2.96815491E-01  0.00000000E+00
     831  2.24467572E-02  5.97495879E-04  6.12816453E-07  4.27811224E-01  1.03999705E-02  5.90604512E-01 -2.99465647E-01 -2.96792062E-01  0.00000000E+00
     841  2.24724902E-02  5.97867960E-04  6.12022003E-07  4.29264061E-01  1.03129152E-02  6.01045581E-01 -2.99499896E-01 -2.96828466E-01  0.00000000E+00
     851  2.25687813E-02  6.01736295E-04  6.16021505E-07  4.32896663E-01  1.02608552E-02  5.95370419E-01 -2.99471047E-01 -2.96802532E-01  0.00000000E+00
     861  2.25370361E-02  5.99923082E-04  6.11489076E-07  4.33661215E-01  1.02185037E-02  5.92046601E-01 -2.99462512E-01 -2.96796866E-01  0.00000000E+00
     871  2.24248770E-02  5.94654124E-04  6.03420335E-07  4.31186604E-01  1.01933957E-02  5.91281949E-01 -2.99424437E-01 -2.96762610E-01  0.00000000E+00
     881  2.26819309E-02  6.15024424E-04  6.83822269E-07  3.97388717E-01  1.11680335E-02  6.15597676E-01 -2.99407559E-01 -2.96745745E-01  0.00000000E+00
     891  2.25657428E-02  6.08382757E-04  6.71165976E-07  3.95557652E-01  1.10142729E-02  6.06267338E-01 -2.99420510E-01 -2.96754665E-01  0.00000000E+00
     901  2.24253936E-02  6.01952850E-04  6.60026321E-07  3.92823365E-01  1.10014519E-02  6.00484932E-01 -2.99446906E-01 -2.96778430E-01  0.00000000E+00
     911  2.24591491E-02  6.04022830E-04  6.64511608E-07  3.92879903E-01  1.10630796E-02  6.04274569E-01 -2.99513621E-01 -2.96841720E-01  0.00000000E+00
     921  2.24381325E-02  6.01491896E-04  6.56239986E-07  3.95380884E-01  1.08867816E-02  6.09800153E-01 -2.99522107E-01 -2.96851966E-01  0.00000000E+00
     931  2.24608736E-02  6.02014881E-04  6.54840113E-07  3.97718440E-01  1.08314640E-02  6.03918004E-01 -2.99501176E-01 -2.96827057E-01  0.00000000E+00
     941  2.25318936E-02  6.04120827E-04  6.53318202E-07  4.03300207E-01  1.07104655E-02  6.05596086E-01 -2.99496509E-01 -2.96823321E-01  0.00000000E+00
     951  2.24512479E-02  5.99876293E-04  6.44439383E-07  4.03050737E-01  1.06419571E-02  6.00944995E-01 -2.99452096E-01 -2.96779637E-01  0.00000000E+00
     961  2.24177759E-02  5.98465697E-04  6.40640691E-07  4.03768742E-01  1.06520925E-02  6.05139550E-01 -2.99432708E-01 -2.96759071E-01  0.00000000E+00
     971  2.24936865E-02  6.01852622E-04  6.45689730E-07  4.05814142E-01  1.06496124E-02  6.07269361E-01 -2.99481312E-01 -2.96807801E-01  0.00000000E+00
     981  2.24203184E-02  5.97651202E-04  6.37058432E-07  4.05485544E-01  1.05489698E-02  6.03792952E-01 -2.99476865E-01 -2.96803380E-01  0.00000000E+00
     991  2.24645264E-02  5.99923529E-04  6.39618158E-07  4.07609973E-01  1.05809629E-02  5.97471712E-01 -2.99457333E-01 -2.96784116E-01  0.00000000E+00
    1001  2.25167659E-02  6.02861306E-04  6.43065367E-07  4.10207771E-01  1.06462663E-02  6.08285137E-01 -2.99408541E-01 -2.96736544E-01  0.00000000E+00
    1011  2.24680941E-02  6.00199870E-04  6.37348878E-07  4.10255123E-01  1.05938500E-02  6.01053931E-01 -2.99393180E-01 -2.96724514E-01  0.00000000E+00
    1021  2.24452818E-02  5.98140245E-04  6.31482153E-07  4.11652682E-01  1.04788931E-02  6.21895990E-01 -2.99297308E-01 -2.96629209E-01  0.00000000E+00
    1031  2.24440709E-02  5.96968672E-04  6.26241096E-07  4.14243349E-01  1.03548099E-02  6.15490589E-01 -2.99274628E-01 -2.96606002E-01  0.00000000E+00
    1041  2.25041492E-02  6.00055079E-04  6.31988742E-07  4.14932661E-01  1.03976804E-02  6.18921359E-01 -2.99288233E-01 -2.96619851E-01  0.00000000E+00
    1051  2.23927019E-02  5.94857695E-04  6.23166150E-07  4.12975224E-01  1.03761613E-02  6.26808461E-01 -2.99251320E-01 -2.96583203E-01  0.00000000E+00
    1061  2.23777653E-02  5.92866843E-04  6.16734237E-07  4.15125781E-01  1.02293194E-02  6.20076939E-01 -2.99287936E-01 -2.96618886E-01  0.00000000E+00
    1071  2.22774426E-02  5.87731160E-04  6.07743996E-07  4.13535148E-01  1.01564881E-02  6.16565905E-01 -2.99266192E-01 -2.96596776E-01  0.00000000E+00
    1081  2.21980653E-02  5.83409235E-04  5.99403066E-07  4.12982421E-01  1.00685720E-02  6.19691901E-01 -2.99243129E-01 -2.96571573E-01  0.00000000E+00
    1091  2.22031822E-02  5.83312227E-04  5.97306671E-07  4.14840917E-01  1.00325642E-02  6.18498891E-01 -2.99233091E-01 -2.96562227E-01  0.00000000E+00
    1101  2.22611099E-02  5.86262723E-04  6.01644216E-07  4.16509312E-01  1.00741894E-02  6.15566774E-01 -2.99205976E-01 -2.96534975E-01  0.00000000E+00
