#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.021608  0.422138  0.004614
    9011  0.021582  0.422076  0.004613
    9021  0.021575  0.422015  0.004612
    9031  0.021568  0.421955  0.004611
    9041  0.021571  0.421900  0.004609
    9051  0.021562  0.421845  0.004608
    9061  0.021556  0.421791  0.004607
    9071  0.021555  0.421740  0.004605
    9081  0.021567  0.421694  0.004604
    9091  0.021569  0.421653  0.004602
    9101  0.021579  0.421617  0.004601
    9111  0.021547  0.421574  0.004599
    9121  0.021506  0.421525  0.004598
    9131  0.021468  0.421468  0.004597
    9141  0.021455  0.421410  0.004596
    9151  0.021433  0.421348  0.004595
    9161  0.021411  0.421283  0.004593
    9171  0.021404  0.421219  0.004592
    9181  0.021406  0.421159  0.004591
    9191  0.021422  0.421105  0.004589
    9201  0.021455  0.421056  0.004588
    9211  0.021489  0.421013  0.004587
    9221  0.021522  0.420976  0.004586
    9231  0.021509  0.420937  0.004585
    9241  0.021514  0.420902  0.004584
    9251  0.021512  0.420869  0.004582
    9261  0.021522  0.420841  0.004581
    9271  0.021542  0.420819  0.004580
    9281  0.021551  0.420800  0.004579
    9291  0.021604  0.420775  0.004578
    9301  0.021626  0.420756  0.004577
    9311  0.021679  0.420729  0.004576
    9321  0.021715  0.420706  0.004575
    9331  0.021720  0.420686  0.004575
    9341  0.021698  0.420663  0.004574
    9351  0.021689  0.420640  0.004573
    9361  0.021708  0.420622  0.004572
    9371  0.021703  0.420605  0.004572
    9381  0.021685  0.420585  0.004571
    9391  0.021672  0.420564  0.004570
    9401  0.021626  0.420536  0.004569
    9411  0.021604  0.420505  0.004569
    9421  0.021630  0.420479  0.004568
    9431  0.021624  0.420454  0.004567
    9441  0.021608  0.420426  0.004567
    9451  0.021603  0.420399  0.004566
    9461  0.021593  0.420372  0.004565
    9471  0.021562  0.420340  0.004564
    9481  0.021554  0.420307  0.004564
    9491  0.021552  0.420277  0.004563
    9501  0.021528  0.420242  0.004562
    9511  0.021520  0.420208  0.004561
    9521  0.021505  0.420172  0.004560
    9531  0.021524  0.420142  0.004560
    9541  0.021519  0.420112  0.004559
    9551  0.021553  0.420086  0.004558
    9561  0.021569  0.420064  0.004557
    9571  0.021572  0.420045  0.004556
    9581  0.021577  0.420029  0.004555
    9591  0.021561  0.420011  0.004554
    9601  0.021559  0.419994  0.004553
    9611  0.021574  0.419981  0.004553
    9621  0.021605  0.419972  0.004552
    9631  0.021611  0.419966  0.004551
    9641  0.021614  0.419963  0.004550
    9651  0.021613  0.419960  0.004549
    9661  0.021635  0.419962  0.004548
    9671  0.021656  0.419968  0.004547
    9681  0.021659  0.419976  0.004546
    9691  0.021646  0.419982  0.004545
    9701  0.021642  0.419990  0.004544
    9711  0.021643  0.419998  0.004543
    9721  0.021652  0.420010  0.004542
    9731  0.021660  0.420024  0.004540
    9741  0.021685  0.420043  0.004539
    9751  0.021705  0.420064  0.004538
    9761  0.021747  0.420084  0.004537
    9771  0.021806  0.420087  0.004537
    9781  0.021846  0.420090  0.004536
    9791  0.021875  0.420096  0.004536
    9801  0.021886  0.420105  0.004535
    9811  0.021884  0.420116  0.004534
    9821  0.021897  0.420129  0.004534
    9831  0.021882  0.420141  0.004533
    9841  0.021865  0.420150  0.004533
    9851  0.021883  0.420163  0.004532
    9861  0.021913  0.420179  0.004531
    9871  0.021926  0.420197  0.004531
    9881  0.021934  0.420218  0.004530
    9891  0.021943  0.420242  0.004530
    9901  0.021956  0.420269  0.004529
    9911  0.021955  0.420296  0.004528
    9921  0.021940  0.420322  0.004528
    9931  0.021911  0.420343  0.004527
    9941  0.021879  0.420360  0.004526
    9951  0.021866  0.420376  0.004526
    9961  0.021847  0.420389  0.004525
    9971  0.021852  0.420405  0.004525
    9981  0.021852  0.420421  0.004524
    9991  0.021838  0.420436  0.004523
