   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -3.54468119E-04  1.45996387E-02  1.65821346E-02  2.20962052E-02  0.00000000E+00
     100 -1.27945054E-03 -1.28950447E-02  2.06156115E-03  1.31213264E-02  0.00000000E+00
     200 -2.90214907E-03 -9.31922927E-03  5.30567033E-03  1.11094843E-02  0.00000000E+00
     300 -2.03705974E-02  5.96722446E-03  2.41173075E-03  2.13631798E-02  0.00000000E+00
     400  4.95265102E-04 -2.23764114E-02 -9.54952452E-03  2.43339781E-02  0.00000000E+00
     500  5.49454350E-03  9.81084412E-03  9.83118799E-04  1.12875681E-02  0.00000000E+00
     600  6.15184408E-03 -9.62515244E-03 -8.22884356E-03  1.40784449E-02  0.00000000E+00
     700 -3.47522628E-03 -1.56692013E-03 -1.12667408E-02  1.18941954E-02  0.00000000E+00
     800 -1.01440167E-02 -1.08126592E-02  4.57396014E-04  1.48332021E-02  0.00000000E+00
     900  6.12385445E-03  6.54251804E-03  1.11586801E-03  9.03057567E-03  0.00000000E+00
    1000 -1.05394759E-02 -1.09440829E-02 -1.39760680E-02  2.06442239E-02  0.00000000E+00
    1100  1.18000341E-03 -2.80210542E-02 -1.64533585E-02  3.25159175E-02  0.00000000E+00
    1200 -8.75769705E-03  6.88014438E-03 -6.11117857E-03  1.27035486E-02  0.00000000E+00
    1300  5.00635129E-04  9.19810352E-03 -6.75512926E-03  1.14231132E-02  0.00000000E+00
    1400 -3.81875045E-03  6.84064635E-03 -6.02265262E-03  9.88178335E-03  0.00000000E+00
    1500 -3.16916938E-04 -4.46668937E-03  6.25600358E-03  7.69346028E-03  0.00000000E+00
    1600  1.27305349E-02 -4.77470628E-03  5.21391136E-03  1.45619096E-02  0.00000000E+00
    1700  1.25847699E-02  2.11034928E-02  4.07916378E-03  2.49072965E-02  0.00000000E+00
    1800  1.01512167E-02  4.40222553E-03 -4.90385898E-03  1.21026700E-02  0.00000000E+00
    1900 -1.11659948E-02 -7.62560228E-03  8.41684676E-03  1.59271014E-02  0.00000000E+00
    2000  7.65832187E-03  5.09182790E-04 -3.06522148E-03  8.26466840E-03  0.00000000E+00
    2100 -2.63137840E-02  1.93755203E-02 -5.18561474E-03  3.30865020E-02  0.00000000E+00
    2200  6.36992409E-03  4.04638243E-03 -1.47530263E-02  1.65710871E-02  0.00000000E+00
    2300  7.87700882E-03  1.99075504E-03 -1.09581083E-03  8.19824218E-03  0.00000000E+00
    2400 -6.57559222E-03  1.07427302E-02 -6.20623426E-03  1.40414390E-02  0.00000000E+00
    2500 -1.33180559E-04 -2.46142508E-03 -2.20276315E-02  2.21651281E-02  0.00000000E+00
    2600 -2.43807078E-02 -9.94889262E-03  1.35068626E-02  2.95945048E-02  0.00000000E+00
    2700 -5.31646395E-03 -1.16652360E-02 -1.10322634E-02  1.69131120E-02  0.00000000E+00
    2800  2.13604806E-02  7.33262015E-04 -1.26602237E-03  2.14105258E-02  0.00000000E+00
    2900 -1.22940172E-02  2.22464618E-03  1.25710920E-02  1.77235511E-02  0.00000000E+00
    3000 -7.85220930E-03  1.45687711E-02 -5.36888901E-03  1.73991739E-02  0.00000000E+00
    3100  1.91975660E-04 -6.02792281E-03 -3.87946000E-03  7.17097748E-03  0.00000000E+00
    3200 -3.36966128E-03  2.21274712E-03  8.42331329E-04  4.11829929E-03  0.00000000E+00
    3300 -7.69095435E-03  3.63981810E-03 -7.78968694E-03  1.15359558E-02  0.00000000E+00
    3400  1.37048430E-02 -1.14319233E-03  2.27366351E-03  1.39391232E-02  0.00000000E+00
    3500  1.53051166E-03 -2.29351146E-04  1.70829111E-04  1.55700047E-03  0.00000000E+00
    3600  1.13405250E-02 -1.80023707E-02 -1.53489915E-02  2.62351748E-02  0.00000000E+00
    3700 -1.72552500E-02 -2.90773161E-03 -6.71725832E-03  1.87435353E-02  0.00000000E+00
    3800  1.00379812E-02 -2.26699702E-02 -4.57534651E-03  2.52115531E-02  0.00000000E+00
    3900  1.37657597E-02 -1.27381951E-02 -5.67808824E-03  1.95958781E-02  0.00000000E+00
    4000  2.36492282E-03 -6.72059286E-03 -1.29572681E-02  1.47868193E-02  0.00000000E+00
