#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.017777  0.466013  0.002118
    9011  0.017774  0.466011  0.002118
    9021  0.017791  0.466015  0.002117
    9031  0.017816  0.466022  0.002117
    9041  0.017840  0.466034  0.002116
    9051  0.017853  0.466050  0.002116
    9061  0.017842  0.466064  0.002115
    9071  0.017850  0.466082  0.002115
    9081  0.017842  0.466100  0.002114
    9091  0.017833  0.466117  0.002114
    9101  0.017845  0.466138  0.002113
    9111  0.017826  0.466154  0.002113
    9121  0.017805  0.466167  0.002112
    9131  0.017786  0.466174  0.002111
    9141  0.017768  0.466179  0.002111
    9151  0.017737  0.466176  0.002111
    9161  0.017706  0.466167  0.002110
    9171  0.017715  0.466162  0.002110
    9181  0.017726  0.466161  0.002110
    9191  0.017709  0.466157  0.002109
    9201  0.017718  0.466157  0.002109
    9211  0.017724  0.466160  0.002108
    9221  0.017712  0.466162  0.002108
    9231  0.017696  0.466160  0.002108
    9241  0.017681  0.466156  0.002107
    9251  0.017665  0.466149  0.002107
    9261  0.017650  0.466140  0.002106
    9271  0.017648  0.466132  0.002106
    9281  0.017639  0.466123  0.002106
    9291  0.017646  0.466117  0.002105
    9301  0.017668  0.466116  0.002105
    9311  0.017703  0.466111  0.002104
    9321  0.017713  0.466109  0.002104
    9331  0.017697  0.466105  0.002104
    9341  0.017694  0.466102  0.002103
    9351  0.017669  0.466095  0.002103
    9361  0.017657  0.466085  0.002103
    9371  0.017646  0.466074  0.002102
    9381  0.017628  0.466060  0.002102
    9391  0.017615  0.466044  0.002102
    9401  0.017597  0.466025  0.002101
    9411  0.017597  0.466008  0.002101
    9421  0.017629  0.465989  0.002101
    9431  0.017606  0.465966  0.002101
    9441  0.017569  0.465938  0.002101
    9451  0.017568  0.465911  0.002100
    9461  0.017572  0.465886  0.002100
    9471  0.017540  0.465856  0.002100
    9481  0.017515  0.465822  0.002100
    9491  0.017508  0.465788  0.002100
    9501  0.017495  0.465752  0.002100
    9511  0.017478  0.465714  0.002100
    9521  0.017449  0.465671  0.002100
    9531  0.017452  0.465630  0.002100
    9541  0.017447  0.465590  0.002100
    9551  0.017471  0.465552  0.002100
    9561  0.017472  0.465517  0.002100
    9571  0.017462  0.465481  0.002100
    9581  0.017440  0.465441  0.002100
    9591  0.017431  0.465401  0.002100
    9601  0.017424  0.465361  0.002100
    9611  0.017430  0.465324  0.002099
    9621  0.017449  0.465291  0.002099
    9631  0.017461  0.465261  0.002099
    9641  0.017440  0.465227  0.002099
    9651  0.017437  0.465195  0.002099
    9661  0.017443  0.465165  0.002099
    9671  0.017457  0.465139  0.002099
    9681  0.017439  0.465110  0.002099
    9691  0.017416  0.465078  0.002099
    9701  0.017426  0.465049  0.002099
    9711  0.017433  0.465023  0.002099
    9721  0.017442  0.465000  0.002099
    9731  0.017446  0.464979  0.002099
    9741  0.017460  0.464962  0.002098
    9751  0.017469  0.464947  0.002098
    9761  0.017496  0.464933  0.002098
    9771  0.017519  0.464921  0.002098
    9781  0.017524  0.464910  0.002098
    9791  0.017539  0.464903  0.002098
    9801  0.017522  0.464893  0.002098
    9811  0.017511  0.464882  0.002098
    9821  0.017539  0.464870  0.002098
    9831  0.017546  0.464862  0.002098
    9841  0.017527  0.464850  0.002098
    9851  0.017533  0.464840  0.002098
    9861  0.017562  0.464830  0.002098
    9871  0.017554  0.464819  0.002098
    9881  0.017579  0.464809  0.002098
    9891  0.017619  0.464788  0.002098
    9901  0.017644  0.464768  0.002098
    9911  0.017640  0.464749  0.002099
    9921  0.017637  0.464731  0.002099
    9931  0.017618  0.464709  0.002099
    9941  0.017613  0.464688  0.002099
    9951  0.017605  0.464667  0.002099
    9961  0.017585  0.464643  0.002099
    9971  0.017586  0.464620  0.002099
    9981  0.017577  0.464597  0.002100
    9991  0.017554  0.464570  0.002100
