#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    3.75840383E-09  2.99577625E-10  1.69736593E-09  4.13477898E-09
      2 -0.400000 -0.450000 -0.450000        1    8.15608526E-10  7.92137423E-11  9.07974918E-10  1.22307422E-09
      3 -0.350000 -0.450000 -0.450000        1    5.76804950E-10  1.84942911E-09  3.31831308E-10  1.96550350E-09
      4 -0.300000 -0.450000 -0.450000        1    4.25992975E-09  3.80324750E-09  6.04038785E-10  5.74252174E-09
      5 -0.250000 -0.450000 -0.450000        1    1.23490742E-09  1.25138242E-09  3.33477896E-09  3.76984151E-09
      6 -0.200000 -0.450000 -0.450000        1    1.10889447E-08  1.00084640E-09  2.03636302E-10  1.11358815E-08
      7 -0.150000 -0.450000 -0.450000        1    5.82864287E-10  3.44391028E-10  1.20583063E-10  6.87659969E-10
      8 -0.100000 -0.450000 -0.450000        1    2.94313874E-09  3.06136648E-10  7.86673420E-09  8.40483743E-09
      9 -0.050000 -0.450000 -0.450000        1    1.15361477E-09  1.44117129E-10  2.58079461E-09  2.83056489E-09
     10  0.000000 -0.450000 -0.450000        1    4.26172480E-09  1.76235487E-09  1.68800140E-09  4.91096138E-09
     11  0.050000 -0.450000 -0.450000        1    2.43969362E-09  8.31469407E-10  3.40958784E-09  4.27419414E-09
     12  0.100000 -0.450000 -0.450000        1    7.93299141E-10  7.91493228E-10  4.91153660E-09  5.03775514E-09
     13  0.150000 -0.450000 -0.450000        1    2.67729466E-09  2.59520212E-11  4.33382409E-10  2.71226852E-09
     14  0.200000 -0.450000 -0.450000        1    7.25926697E-09  6.70518315E-10  6.64820766E-10  7.32041928E-09
     15  0.250000 -0.450000 -0.450000        1    3.05401636E-10  1.52207469E-10  4.18507836E-09  4.19896632E-09
     16  0.300000 -0.450000 -0.450000        1    1.38711608E-08  9.93775725E-10  1.31214758E-08  1.91198802E-08
     17  0.350000 -0.450000 -0.450000        1    2.49791440E-09  4.50320951E-09  2.86640041E-09  5.89361719E-09
     18  0.400000 -0.450000 -0.450000        1    1.72553812E-09  2.10879513E-09  2.14868556E-10  2.73325213E-09
     19  0.450000 -0.450000 -0.450000        1    5.55278035E-10  1.10675061E-09  4.13409579E-09  4.31555079E-09
     20  0.500000 -0.450000 -0.450000        1    3.58364306E-09  2.05246941E-09  2.32042468E-09  4.73703483E-09
     21 -0.450000 -0.400000 -0.450000        1    5.15807096E-09  1.61964347E-09  5.88682250E-10  5.43833503E-09
     22 -0.400000 -0.400000 -0.450000        1    8.35954256E-11  1.02871872E-10  2.84618663E-09  2.84927169E-09
     23 -0.350000 -0.400000 -0.450000        1    7.07383373E-11  6.60809730E-09  2.03621142E-09  6.91506405E-09
     24 -0.300000 -0.400000 -0.450000        1    2.49969780E-09  2.96776679E-09  7.16695910E-09  8.14993445E-09
     25 -0.250000 -0.400000 -0.450000        1    1.17526128E-11  3.18707588E-09  7.62810000E-09  8.26713375E-09
     26 -0.200000 -0.400000 -0.450000        1    3.15210941E-09  1.60627172E-09  2.62301197E-10  3.54749270E-09
     27 -0.150000 -0.400000 -0.450000        1    6.25522910E-10  1.43290081E-10  4.19343218E-09  4.24224993E-09
     28 -0.100000 -0.400000 -0.450000        1    2.01767085E-11  5.66700508E-09  3.81449393E-09  6.83123104E-09
     29 -0.050000 -0.400000 -0.450000        1    3.66332834E-09  3.80055626E-09  4.33346842E-09  6.82957912E-09
     30  0.000000 -0.400000 -0.450000        1    1.14439684E-10  2.48318613E-09  4.27386036E-09  4.94420794E-09
     31  0.050000 -0.400000 -0.450000        1    2.28967488E-09  1.40690140E-09  1.02590415E-08  1.06051835E-08
     32  0.100000 -0.400000 -0.450000        1    1.13805765E-09  1.47872741E-08  8.38708921E-10  1.48546990E-08
     33  0.150000 -0.400000 -0.450000        1    3.78966948E-09  1.21173939E-09  1.79974707E-09  4.36680622E-09
     34  0.200000 -0.400000 -0.450000        1    7.09536865E-10  9.45449620E-10  7.30963567E-10  1.38982923E-09
     35  0.250000 -0.400000 -0.450000        1    3.78225641E-09  5.78921207E-09  2.30463169E-09  7.28915407E-09
     36  0.300000 -0.400000 -0.450000        1    1.44050480E-09  4.17195206E-09  1.17793467E-09  4.56812523E-09
     37  0.350000 -0.400000 -0.450000        1    2.19155686E-10  1.42520877E-09  2.73366682E-09  3.09066070E-09
     38  0.400000 -0.400000 -0.450000        1    1.01044795E-09  5.60712354E-09  2.66352897E-09  6.28929456E-09
     39  0.450000 -0.400000 -0.450000        1    2.99246190E-09  7.63954268E-10  6.66324864E-09  7.34420430E-09
     40  0.500000 -0.400000 -0.450000        1    1.88349242E-09  4.68654981E-09  9.41848873E-10  5.13793462E-09
