   #Iter                 Tot                 Exc                 Ani                  DM                  PD               BiqDM                  BQ                 Dip              Zeeman                 LSF                Chir                Ring                  SA
       0 -2.79430417E-01 -2.76527361E-01  0.00000000E+00 -2.89952867E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.52733691E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
      50 -2.78597602E-01 -2.75801627E-01  0.00000000E+00 -2.79188591E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -4.08871578E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     100 -2.85566587E-01 -2.82989471E-01  0.00000000E+00 -2.57667725E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -4.38533452E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     150 -2.68680630E-01 -2.66161028E-01  0.00000000E+00 -2.51615047E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.45159198E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     200 -2.68659305E-01 -2.66150117E-01  0.00000000E+00 -2.50805885E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.12861747E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     250 -2.82968125E-01 -2.80435259E-01  0.00000000E+00 -2.52924006E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.62595671E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     300 -2.76176968E-01 -2.73780769E-01  0.00000000E+00 -2.39568529E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -5.13021218E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     350 -2.74216530E-01 -2.71460989E-01  0.00000000E+00 -2.75292944E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.61133832E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     400 -2.77575221E-01 -2.74877969E-01  0.00000000E+00 -2.69928294E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.03136635E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     450 -2.73558010E-01 -2.70603421E-01  0.00000000E+00 -2.95415308E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -4.36127257E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     500 -2.75436488E-01 -2.72522759E-01  0.00000000E+00 -2.91351979E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.09128155E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     550 -2.78191877E-01 -2.75734699E-01  0.00000000E+00 -2.45523528E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.94277472E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     600 -2.68735602E-01 -2.65915628E-01  0.00000000E+00 -2.82172467E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.75043227E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     650 -2.80097442E-01 -2.77510993E-01  0.00000000E+00 -2.58814660E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.69745837E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     700 -2.76550654E-01 -2.73746112E-01  0.00000000E+00 -2.80693803E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.39665107E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     750 -2.68356445E-01 -2.65478965E-01  0.00000000E+00 -2.87926748E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.78795529E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     800 -2.74507839E-01 -2.71799817E-01  0.00000000E+00 -2.70792462E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -9.72968728E-08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     850 -2.71995812E-01 -2.69102383E-01  0.00000000E+00 -2.89101019E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.41880804E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     900 -2.77243564E-01 -2.74810218E-01  0.00000000E+00 -2.43310836E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.37366448E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
     950 -2.70128057E-01 -2.67350075E-01  0.00000000E+00 -2.77628854E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.69333714E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1000 -2.66654238E-01 -2.63298140E-01  0.00000000E+00 -3.35907028E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.97297674E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1050 -2.75694396E-01 -2.73239600E-01  0.00000000E+00 -2.45621600E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.41910363E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1100 -2.78280386E-01 -2.75646419E-01  0.00000000E+00 -2.63746678E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.49994377E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1150 -2.81243039E-01 -2.78331768E-01  0.00000000E+00 -2.91426029E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.98889666E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1200 -2.76093427E-01 -2.74020387E-01  0.00000000E+00 -2.07434074E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.29996446E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
