   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  1.22602051E-02  1.50312630E-04  2.25938868E-08  6.66666667E-01  2.61696122E-19 -4.51611583E-14 -2.45536749E-01 -2.42959609E-01  0.00000000E+00
      11  1.44677793E-02  2.28702856E-04  6.80344256E-08  5.66424943E-01  1.86603884E-03  1.29082189E-01 -2.47009233E-01 -2.44714874E-01  0.00000000E+00
      21  1.28181023E-02  1.88430368E-04  5.14028420E-08  5.17425818E-01  2.32233092E-03  2.79731107E-01 -2.43445001E-01 -2.40897235E-01  0.00000000E+00
      31  1.31498284E-02  2.02341876E-04  6.18008294E-08  4.96845335E-01  2.83222422E-03  2.75116516E-01 -2.43922504E-01 -2.41397744E-01  0.00000000E+00
      41  1.35858701E-02  2.28521777E-04  9.36650764E-08  4.02137587E-01  4.23005541E-03  2.25643942E-01 -2.44029607E-01 -2.41519282E-01  0.00000000E+00
      51  1.40440209E-02  2.45712957E-04  1.16046350E-07  3.59300901E-01  4.66633769E-03  2.98068279E-01 -2.44452648E-01 -2.41914080E-01  0.00000000E+00
      61  1.51034986E-02  2.76804605E-04  1.33841690E-07  4.17731178E-01  4.68659951E-03  2.97792982E-01 -2.44695898E-01 -2.42173848E-01  0.00000000E+00
      71  1.42790589E-02  2.48741014E-04  1.11861859E-07  3.97348868E-01  4.31703037E-03  3.15871916E-01 -2.44691280E-01 -2.42265326E-01  0.00000000E+00
      81  1.44556678E-02  2.51795264E-04  1.09106823E-07  4.26365129E-01  4.12253943E-03  3.02657596E-01 -2.45095075E-01 -2.42648292E-01  0.00000000E+00
      91  1.40611743E-02  2.35936444E-04  9.51984806E-08  4.29942448E-01  3.67888517E-03  3.19397854E-01 -2.44642491E-01 -2.42192167E-01  0.00000000E+00
     101  1.43963574E-02  2.46475931E-04  1.02422488E-07  4.38014595E-01  3.77523762E-03  3.04643464E-01 -2.44302805E-01 -2.41839984E-01  0.00000000E+00
     111  1.50212099E-02  2.66195177E-04  1.13429744E-07  4.66412887E-01  3.90399006E-03  2.93786323E-01 -2.44340462E-01 -2.41910161E-01  0.00000000E+00
     121  1.48731012E-02  2.58968908E-04  1.06158086E-07  4.72361379E-01  3.63460231E-03  2.71023810E-01 -2.44331452E-01 -2.41893893E-01  0.00000000E+00
     131  1.51532369E-02  2.68896208E-04  1.16275039E-07  4.63961621E-01  3.78051192E-03  2.80084367E-01 -2.44078511E-01 -2.41636079E-01  0.00000000E+00
     141  1.52033338E-02  2.70182045E-04  1.18007282E-07  4.61141691E-01  3.75789818E-03  2.88482682E-01 -2.44540840E-01 -2.42057910E-01  0.00000000E+00
     151  1.54702570E-02  2.76140930E-04  1.19638384E-07  4.77016827E-01  3.54338137E-03  3.18650788E-01 -2.44279518E-01 -2.41788740E-01  0.00000000E+00
     161  1.51093401E-02  2.64832627E-04  1.11559317E-07  4.69797691E-01  3.51723757E-03  2.95886245E-01 -2.44374233E-01 -2.41877812E-01  0.00000000E+00
     171  1.52167196E-02  2.69300314E-04  1.16092103E-07  4.66409971E-01  3.63383136E-03  3.14210576E-01 -2.44605488E-01 -2.42121414E-01  0.00000000E+00
     181  1.50052095E-02  2.63679556E-04  1.13305410E-07  4.56779092E-01  3.70809129E-03  2.90566391E-01 -2.44466101E-01 -2.41970628E-01  0.00000000E+00
     191  1.49497898E-02  2.60855376E-04  1.10184315E-07  4.60242187E-01  3.59604136E-03  3.26035941E-01 -2.44627190E-01 -2.42130750E-01  0.00000000E+00
     201  1.46039048E-02  2.49868830E-04  1.02445636E-07  4.53049475E-01  3.52246652E-03  3.36705022E-01 -2.44502648E-01 -2.42011348E-01  0.00000000E+00
     211  1.48831923E-02  2.58662134E-04  1.08562898E-07  4.59128050E-01  3.57617033E-03  3.13329807E-01 -2.44524950E-01 -2.42040554E-01  0.00000000E+00
     221  1.49002019E-02  2.61304219E-04  1.10789115E-07  4.59142330E-01  3.78172307E-03  3.11559102E-01 -2.44648023E-01 -2.42170860E-01  0.00000000E+00
     231  1.52852866E-02  2.74044546E-04  1.21603029E-07  4.60264716E-01  3.88917919E-03  3.29039523E-01 -2.44783934E-01 -2.42305254E-01  0.00000000E+00
     241  1.51904896E-02  2.69540880E-04  1.16865104E-07  4.63815431E-01  3.73375919E-03  3.35326042E-01 -2.44398000E-01 -2.41911221E-01  0.00000000E+00
     251  1.52657038E-02  2.71622772E-04  1.18696561E-07  4.63728734E-01  3.71365647E-03  3.18946314E-01 -2.44444418E-01 -2.41950062E-01  0.00000000E+00
     261  1.51954654E-02  2.70128795E-04  1.18149858E-07  4.60277920E-01  3.77579601E-03  3.51368207E-01 -2.44488579E-01 -2.41999782E-01  0.00000000E+00
     271  1.48805269E-02  2.60528792E-04  1.11868542E-07  4.50616933E-01  3.76348361E-03  3.47963770E-01 -2.44340875E-01 -2.41856874E-01  0.00000000E+00
     281  1.48145568E-02  2.58662024E-04  1.11795267E-07  4.43023565E-01  3.77236008E-03  3.40884935E-01 -2.44442185E-01 -2.41945251E-01  0.00000000E+00
     291  1.45776269E-02  2.50927968E-04  1.06417888E-07  4.36628025E-01  3.69822676E-03  3.59022881E-01 -2.44460586E-01 -2.41966197E-01  0.00000000E+00
     301  1.44814401E-02  2.48229740E-04  1.04453659E-07  4.34939719E-01  3.70755111E-03  3.50469701E-01 -2.44415116E-01 -2.41918149E-01  0.00000000E+00
     311  1.46218561E-02  2.51908290E-04  1.05772791E-07  4.44392896E-01  3.66827704E-03  3.48423427E-01 -2.44510496E-01 -2.42016719E-01  0.00000000E+00
     321  1.46275876E-02  2.52614057E-04  1.07538361E-07  4.38270634E-01  3.72007478E-03  3.48560713E-01 -2.44629082E-01 -2.42133478E-01  0.00000000E+00
     331  1.44415554E-02  2.46279084E-04  1.02800045E-07  4.35040918E-01  3.63082831E-03  3.42258492E-01 -2.44702768E-01 -2.42200946E-01  0.00000000E+00
     341  1.44920562E-02  2.47421412E-04  1.02301341E-07  4.42961121E-01  3.60013804E-03  3.39543633E-01 -2.44755670E-01 -2.42247004E-01  0.00000000E+00
     351  1.45652697E-02  2.48787416E-04  1.01874781E-07  4.51358550E-01  3.52685017E-03  3.38562470E-01 -2.44687547E-01 -2.42173763E-01  0.00000000E+00
     361  1.45726134E-02  2.49539656E-04  1.02378675E-07  4.51963975E-01  3.57866072E-03  3.49793709E-01 -2.44565424E-01 -2.42060151E-01  0.00000000E+00
     371  1.46111197E-02  2.49479020E-04  1.00881742E-07  4.59714567E-01  3.46465600E-03  3.37973464E-01 -2.44625938E-01 -2.42125074E-01  0.00000000E+00
     381  1.44474549E-02  2.44600127E-04  9.80888609E-08  4.53506399E-01  3.45281380E-03  3.31787360E-01 -2.44691069E-01 -2.42180742E-01  0.00000000E+00
     391  1.43170293E-02  2.40613995E-04  9.54544877E-08  4.50416952E-01  3.43024118E-03  3.24754860E-01 -2.44677636E-01 -2.42167491E-01  0.00000000E+00
     401  1.43012831E-02  2.40413559E-04  9.52249357E-08  4.50824040E-01  3.45432380E-03  3.26083816E-01 -2.44757689E-01 -2.42250079E-01  0.00000000E+00
     411  1.43070738E-02  2.40477154E-04  9.54837011E-08  4.49622915E-01  3.44449908E-03  3.29121879E-01 -2.44826807E-01 -2.42311584E-01  0.00000000E+00
     421  1.42783963E-02  2.39173576E-04  9.38941146E-08  4.52869756E-01  3.39792888E-03  3.19728087E-01 -2.44845328E-01 -2.42331039E-01  0.00000000E+00
