#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
      1 -0.450000 -0.450000 -0.450000        1    5.32086912E-09  2.18956895E-09  2.32256941E-10  5.75845498E-09
      2 -0.400000 -0.450000 -0.450000        1    4.17343155E-09  1.75183996E-09  3.62127245E-09  5.79655831E-09
      3 -0.350000 -0.450000 -0.450000        1    2.49036666E-09  4.26023438E-09  5.41621171E-10  4.96436064E-09
      4 -0.300000 -0.450000 -0.450000        1    4.56471056E-09  5.32027686E-09  3.50602575E-09  7.83799368E-09
      5 -0.250000 -0.450000 -0.450000        1    2.60137052E-09  3.18093098E-09  1.72926347E-09  4.45822865E-09
      6 -0.200000 -0.450000 -0.450000        1    6.10148663E-09  7.22016780E-09  7.82853772E-09  1.22737511E-08
      7 -0.150000 -0.450000 -0.450000        1    3.87832617E-09  4.99125376E-09  2.44248626E-09  6.77641255E-09
      8 -0.100000 -0.450000 -0.450000        1    2.01634178E-09  1.15575385E-09  4.13171608E-09  4.74051463E-09
      9 -0.050000 -0.450000 -0.450000        1    3.65726131E-09  2.27229571E-09  6.56545809E-09  7.85137746E-09
     10  0.000000 -0.450000 -0.450000        1    9.34320964E-09  3.83479570E-10  5.19151534E-09  1.06955343E-08
     11  0.050000 -0.450000 -0.450000        1    5.69271478E-09  1.22447543E-09  1.36578924E-09  5.98094657E-09
     12  0.100000 -0.450000 -0.450000        1    4.05106745E-09  4.24274437E-09  6.80245030E-09  8.98250284E-09
     13  0.150000 -0.450000 -0.450000        1    6.55884005E-10  4.64263067E-09  1.43865299E-09  4.90448018E-09
     14  0.200000 -0.450000 -0.450000        1    6.34815491E-09  3.16133619E-09  6.46137805E-10  7.12113835E-09
     15  0.250000 -0.450000 -0.450000        1    1.42652951E-09  3.68239682E-09  6.85982103E-10  4.00819214E-09
     16  0.300000 -0.450000 -0.450000        1    5.59615325E-09  5.11149267E-10  1.09551106E-08  1.23122968E-08
     17  0.350000 -0.450000 -0.450000        1    7.91563661E-09  3.04802081E-09  1.16151030E-09  8.56135737E-09
     18  0.400000 -0.450000 -0.450000        1    2.74002115E-09  3.20632695E-09  9.16374270E-10  4.31601554E-09
     19  0.450000 -0.450000 -0.450000        1    3.08915658E-09  3.26410656E-09  1.30215123E-09  4.67898256E-09
     20  0.500000 -0.450000 -0.450000        1    4.27015301E-10  5.83155542E-09  3.08162849E-09  6.60952456E-09
     21 -0.450000 -0.400000 -0.450000        1    6.65864188E-09  7.98132287E-09  1.04372564E-09  1.04464535E-08
     22 -0.400000 -0.400000 -0.450000        1    3.24346189E-09  1.08312288E-09  5.63392122E-09  6.59046800E-09
     23 -0.350000 -0.400000 -0.450000        1    2.31806477E-09  2.31815060E-09  7.39496171E-11  3.27913328E-09
     24 -0.300000 -0.400000 -0.450000        1    2.60005527E-10  6.79515526E-10  2.11136312E-10  7.57576904E-10
     25 -0.250000 -0.400000 -0.450000        1    2.41695925E-10  7.70871379E-10  1.84133786E-09  2.01076720E-09
     26 -0.200000 -0.400000 -0.450000        1    5.78162533E-09  4.51154174E-10  9.80812135E-11  5.80003030E-09
     27 -0.150000 -0.400000 -0.450000        1    1.28261019E-09  2.35374205E-10  8.52429046E-09  8.62345742E-09
     28 -0.100000 -0.400000 -0.450000        1    2.35046636E-09  6.53939070E-10  2.94646643E-09  3.82544021E-09
