   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  5.24923395E-01  2.75544571E-01  7.59248104E-02  6.66666667E-01  7.58130292E-15 -4.63665375E-12 -1.28072005E+00 -1.28053549E+00  0.00000000E+00
      11  5.24563154E-01  2.75166550E-01  7.57166815E-02  6.66666440E-01  2.70129450E-05  2.02732511E-01 -1.28122454E+00 -1.28099789E+00  0.00000000E+00
      21  5.24566669E-01  2.75170407E-01  7.57189917E-02  6.66665615E-01  1.25297862E-04  8.65844720E-01 -1.28134136E+00 -1.28111081E+00  0.00000000E+00
      31  5.24788545E-01  2.75403316E-01  7.58473168E-02  6.66665215E-01  1.73070799E-04  1.12982905E+00 -1.28119464E+00 -1.28097943E+00  0.00000000E+00
      41  5.24742913E-01  2.75355492E-01  7.58210508E-02  6.66664891E-01  2.11837594E-04  1.09718309E+00 -1.28136668E+00 -1.28115334E+00  0.00000000E+00
      51  5.24637054E-01  2.75244370E-01  7.57598289E-02  6.66665058E-01  1.91765561E-04  9.52878116E-01 -1.28123431E+00 -1.28102505E+00  0.00000000E+00
      61  5.24909060E-01  2.75529996E-01  7.59173017E-02  6.66664369E-01  2.74183310E-04  7.73269633E-01 -1.28131469E+00 -1.28110327E+00  0.00000000E+00
      71  5.25141666E-01  2.75774322E-01  7.60520866E-02  6.66663994E-01  3.19335522E-04  9.26206505E-01 -1.28138142E+00 -1.28116912E+00  0.00000000E+00
      81  5.25200570E-01  2.75836102E-01  7.60860651E-02  6.66664432E-01  2.67164000E-04  7.97663586E-01 -1.28127757E+00 -1.28106621E+00  0.00000000E+00
      91  5.25310975E-01  2.75952070E-01  7.61500402E-02  6.66664498E-01  2.59407696E-04  7.40518961E-01 -1.28122140E+00 -1.28100774E+00  0.00000000E+00
     101  5.25397442E-01  2.76042917E-01  7.62001842E-02  6.66664515E-01  2.57438501E-04  7.87484092E-01 -1.28127027E+00 -1.28105824E+00  0.00000000E+00
     111  5.25347290E-01  2.75990179E-01  7.61710248E-02  6.66664716E-01  2.33239662E-04  7.02075035E-01 -1.28125157E+00 -1.28103609E+00  0.00000000E+00
     121  5.25339461E-01  2.75981980E-01  7.61665290E-02  6.66664585E-01  2.48917971E-04  6.58458225E-01 -1.28125619E+00 -1.28104123E+00  0.00000000E+00
