   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.60546939E-02  6.78847073E-04  4.60833349E-07  6.66666667E-01  1.40434733E-19 -1.82091875E-14 -1.25837475E+00 -1.24144829E+00  0.00000000E+00
      11  4.25975915E-02  1.99823541E-03  5.47461521E-06  5.42975959E-01  8.28766422E-04  3.38068816E-02 -1.23915757E+00 -1.22210417E+00  0.00000000E+00
      21  4.18192993E-02  2.04285158E-03  7.40874394E-06  4.08234418E-01  1.32651727E-03  2.46666909E-01 -1.24980171E+00 -1.23272232E+00  0.00000000E+00
      31  3.81337185E-02  1.70209641E-03  5.30735978E-06  3.89354777E-01  1.11859603E-03  2.61242351E-01 -1.26010511E+00 -1.24336845E+00  0.00000000E+00
      41  4.09382135E-02  1.93308769E-03  5.97167678E-06  4.67313207E-01  1.16026182E-03  2.15515470E-01 -1.26439806E+00 -1.24745647E+00  0.00000000E+00
      51  3.87363809E-02  1.74421818E-03  4.92543489E-06  4.60338158E-01  1.09962331E-03  2.32861414E-01 -1.25621629E+00 -1.23877742E+00  0.00000000E+00
      61  3.79766784E-02  1.65345887E-03  4.22987320E-06  4.84273672E-01  9.53072680E-04  2.05970845E-01 -1.25162266E+00 -1.23421157E+00  0.00000000E+00
      71  3.84487476E-02  1.68236560E-03  4.18143685E-06  5.07548427E-01  9.20715546E-04  1.61897850E-01 -1.25057670E+00 -1.23408091E+00  0.00000000E+00
      81  3.94397273E-02  1.76977796E-03  4.70299431E-06  4.99486686E-01  9.66857328E-04  1.67175910E-01 -1.25092265E+00 -1.23401485E+00  0.00000000E+00
      91  3.87012017E-02  1.70546966E-03  4.34443088E-06  5.02121193E-01  9.37081657E-04  2.02578934E-01 -1.25099584E+00 -1.23420400E+00  0.00000000E+00
     101  3.80985285E-02  1.62787998E-03  3.87445762E-06  5.12645595E-01  7.95835617E-04  1.91964960E-01 -1.25114029E+00 -1.23430328E+00  0.00000000E+00
     111  3.85871530E-02  1.66173512E-03  3.96332000E-06  5.21574536E-01  7.79523112E-04  1.95423024E-01 -1.25119198E+00 -1.23399649E+00  0.00000000E+00
     121  3.91852350E-02  1.73105744E-03  4.33957145E-06  5.17271845E-01  8.82433010E-04  1.72683052E-01 -1.25174641E+00 -1.23471329E+00  0.00000000E+00
     131  3.80966734E-02  1.63688679E-03  3.92719003E-06  5.11433849E-01  8.37112102E-04  1.57482021E-01 -1.25206113E+00 -1.23498701E+00  0.00000000E+00
     141  3.68947746E-02  1.54141834E-03  3.54434848E-06  5.02750771E-01  8.13034641E-04  1.52716371E-01 -1.25264671E+00 -1.23560329E+00  0.00000000E+00
