   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.11163346E-02  4.45899585E-04  1.98826440E-07  6.66666667E-01 -1.11193298E-20  2.57784146E-13 -2.12416880E+00 -2.09994166E+00  0.00000000E+00
      11  4.69529873E-02  2.37293095E-03  7.29567578E-06  5.68109083E-01  1.51917089E-03  8.90108260E+00 -2.53209468E+00 -2.50201530E+00  0.00000000E+00
      21  4.58646628E-02  2.38492797E-03  8.94989094E-06  4.75499441E-01  2.53899731E-03  4.16640305E+00 -2.56602753E+00 -2.53532753E+00  0.00000000E+00
      31  3.82784362E-02  1.79521969E-03  5.92709764E-06  3.86964508E-01  2.97774706E-03  2.25174755E+00 -2.56073339E+00 -2.52903122E+00  0.00000000E+00
      41  4.23063086E-02  2.10314609E-03  7.19855253E-06  4.57518365E-01  2.82741929E-03  1.60658049E+00 -2.56202089E+00 -2.52995480E+00  0.00000000E+00
      51  4.74741888E-02  2.81121599E-03  1.57153332E-05  3.37152061E-01  5.03013172E-03  1.26174069E+00 -2.56309928E+00 -2.53081685E+00  0.00000000E+00
      61  5.46084656E-02  3.57662776E-03  2.16557596E-05  4.35706977E-01  5.36515533E-03  9.58362380E-01 -2.56006498E+00 -2.52734034E+00  0.00000000E+00
      71  5.77663888E-02  3.98937821E-03  2.71421770E-05  4.31522865E-01  5.88745771E-03  8.27595179E-01 -2.55965982E+00 -2.52714548E+00  0.00000000E+00
      81  5.49336604E-02  3.57097830E-03  2.22002406E-05  4.19687395E-01  4.99271715E-03  9.55689378E-01 -2.56443615E+00 -2.53139423E+00  0.00000000E+00
      91  5.26343592E-02  3.27774228E-03  1.90559388E-05  4.08765879E-01  4.57847285E-03  9.32246785E-01 -2.56938876E+00 -2.53593994E+00  0.00000000E+00
     101  5.18428919E-02  3.24666220E-03  1.90670995E-05  3.97039075E-01  5.04420362E-03  7.92420476E-01 -2.56973856E+00 -2.53586607E+00  0.00000000E+00
     111  5.72054287E-02  3.91211769E-03  2.55214031E-05  4.44147621E-01  5.77225825E-03  8.59557314E-01 -2.56729612E+00 -2.53373335E+00  0.00000000E+00
     121  5.46755680E-02  3.57510344E-03  2.20730809E-05  4.24342090E-01  5.28522491E-03  8.29214597E-01 -2.56772335E+00 -2.53383561E+00  0.00000000E+00
     131  5.46639270E-02  3.53118388E-03  2.09540517E-05  4.39847741E-01  4.90038097E-03  7.92260860E-01 -2.56500019E+00 -2.53136620E+00  0.00000000E+00
     141  5.44711124E-02  3.46419392E-03  1.98098012E-05  4.49757069E-01  4.48575432E-03  8.68668950E-01 -2.56467714E+00 -2.53103268E+00  0.00000000E+00
     151  5.47791587E-02  3.49020494E-03  1.97527217E-05  4.59489874E-01  4.41678271E-03  8.52858841E-01 -2.56568750E+00 -2.53214915E+00  0.00000000E+00
     161  5.60609260E-02  3.61661366E-03  2.04850731E-05  4.77950088E-01  4.27544470E-03  8.06157124E-01 -2.56539852E+00 -2.53192322E+00  0.00000000E+00
     171  5.47287197E-02  3.51132161E-03  2.02029369E-05  4.53799576E-01  4.65718326E-03  8.29650446E-01 -2.56612784E+00 -2.53268806E+00  0.00000000E+00
     181  5.59510745E-02  3.61520776E-03  2.03786521E-05  4.80258161E-01  4.37379530E-03  8.64743313E-01 -2.56834861E+00 -2.53484277E+00  0.00000000E+00
     191  5.52752663E-02  3.55531825E-03  1.97927197E-05  4.78051978E-01  4.51166529E-03  8.07951783E-01 -2.56782467E+00 -2.53448000E+00  0.00000000E+00
     201  5.48255757E-02  3.49907418E-03  1.92084588E-05  4.77044219E-01  4.45090899E-03  8.03016236E-01 -2.56908125E+00 -2.53570256E+00  0.00000000E+00
     211  5.58904951E-02  3.66710340E-03  2.16533669E-05  4.63267532E-01  4.90324154E-03  7.64769396E-01 -2.57010504E+00 -2.53666560E+00  0.00000000E+00
     221  5.61945193E-02  3.70067184E-03  2.18054414E-05  4.69259198E-01  4.89865624E-03  8.48665608E-01 -2.56793493E+00 -2.53446772E+00  0.00000000E+00
     231  5.63366663E-02  3.71421894E-03  2.19254316E-05  4.70224469E-01  4.87655764E-03  7.99787765E-01 -2.56905925E+00 -2.53553280E+00  0.00000000E+00
     241  5.59682587E-02  3.64030284E-03  2.08954708E-05  4.74399370E-01  4.58289779E-03  7.43771511E-01 -2.56859227E+00 -2.53519312E+00  0.00000000E+00
     251  5.67234957E-02  3.73771163E-03  2.19927536E-05  4.75256859E-01  4.69389122E-03  7.40203383E-01 -2.56812193E+00 -2.53473003E+00  0.00000000E+00
     261  5.58025906E-02  3.64031439E-03  2.12276537E-05  4.66047094E-01  4.75009815E-03  7.33079506E-01 -2.56939067E+00 -2.53582505E+00  0.00000000E+00
     271  5.73413882E-02  3.82820289E-03  2.31430090E-05  4.73608733E-01  4.87447421E-03  7.38776078E-01 -2.57033483E+00 -2.53664262E+00  0.00000000E+00
     281  5.74244119E-02  3.81739505E-03  2.26657688E-05  4.81540321E-01  4.69096113E-03  7.73564138E-01 -2.56947228E+00 -2.53587964E+00  0.00000000E+00
     291  5.89454917E-02  4.04517611E-03  2.59878581E-05  4.70611668E-01  5.14913780E-03  7.85586823E-01 -2.56995401E+00 -2.53636203E+00  0.00000000E+00
     301  5.93821391E-02  4.11596561E-03  2.72062945E-05  4.64690852E-01  5.32169503E-03  7.99780281E-01 -2.56918677E+00 -2.53564381E+00  0.00000000E+00
     311  5.85289670E-02  4.00082289E-03  2.59420151E-05  4.59763653E-01  5.19044786E-03  7.83550151E-01 -2.56997184E+00 -2.53634021E+00  0.00000000E+00
     321  5.85178794E-02  3.97339262E-03  2.52405758E-05  4.67088561E-01  4.95462813E-03  8.18638337E-01 -2.56923995E+00 -2.53554369E+00  0.00000000E+00
     331  5.80616812E-02  3.89888060E-03  2.42667117E-05  4.67879726E-01  4.76215870E-03  7.98738425E-01 -2.56878190E+00 -2.53510454E+00  0.00000000E+00
     341  5.73691099E-02  3.83728554E-03  2.36828333E-05  4.63877334E-01  4.92773999E-03  7.65407104E-01 -2.56837880E+00 -2.53477412E+00  0.00000000E+00
     351  5.67193443E-02  3.76946883E-03  2.31004185E-05  4.58076131E-01  4.98471784E-03  7.57028536E-01 -2.56847388E+00 -2.53490694E+00  0.00000000E+00
     361  5.84006515E-02  4.02304416E-03  2.69714469E-05  4.44513651E-01  5.52636739E-03  7.71092649E-01 -2.56770817E+00 -2.53410754E+00  0.00000000E+00
     371  5.79488131E-02  3.95689026E-03  2.60663500E-05  4.45053705E-01  5.40379680E-03  7.79118785E-01 -2.56806530E+00 -2.53448035E+00  0.00000000E+00
     381  5.76738247E-02  3.93382595E-03  2.58262172E-05  4.43699741E-01  5.48258139E-03  7.61389490E-01 -2.56858819E+00 -2.53496368E+00  0.00000000E+00
     391  5.88114917E-02  4.07075100E-03  2.70421177E-05  4.56035739E-01  5.52231905E-03  7.64728576E-01 -2.56957563E+00 -2.53602115E+00  0.00000000E+00
     401  5.87526801E-02  4.07416160E-03  2.70995557E-05  4.55792637E-01  5.61548943E-03  7.78281433E-01 -2.56898479E+00 -2.53544513E+00  0.00000000E+00
     411  5.82359897E-02  4.01702565E-03  2.64786381E-05  4.53027893E-01  5.64536757E-03  7.87659788E-01 -2.56904606E+00 -2.53557811E+00  0.00000000E+00
     421  5.83715462E-02  4.09088034E-03  2.91285851E-05  4.19817558E-01  6.16919054E-03  7.66461018E-01 -2.56849731E+00 -2.53502046E+00  0.00000000E+00
     431  5.91526718E-02  4.17864611E-03  2.98283846E-05  4.30573999E-01  6.13277506E-03  7.77369944E-01 -2.56834178E+00 -2.53485450E+00  0.00000000E+00
     441  5.93454811E-02  4.19055811E-03  2.96731012E-05  4.36754218E-01  6.03409270E-03  7.66733147E-01 -2.56826921E+00 -2.53474068E+00  0.00000000E+00
     451  6.05817159E-02  4.36811770E-03  3.20886819E-05  4.39414372E-01  6.29850858E-03  7.58077546E-01 -2.56814041E+00 -2.53466864E+00  0.00000000E+00
     461  6.03047425E-02  4.32686132E-03  3.15106394E-05  4.38964932E-01  6.22835566E-03  7.70381565E-01 -2.56881858E+00 -2.53538341E+00  0.00000000E+00
     471  6.00982727E-02  4.28372080E-03  3.07554915E-05  4.41325173E-01  6.06338852E-03  8.31275401E-01 -2.56942990E+00 -2.53598754E+00  0.00000000E+00
     481  5.96491231E-02  4.21716690E-03  2.98934829E-05  4.39708951E-01  5.94815748E-03  8.26533864E-01 -2.56975866E+00 -2.53635974E+00  0.00000000E+00
     491  6.01882129E-02  4.28488218E-03  3.08029918E-05  4.40765602E-01  5.97624186E-03  8.26808365E-01 -2.56971397E+00 -2.53641326E+00  0.00000000E+00
     501  6.01996508E-02  4.27898658E-03  3.05774031E-05  4.43330411E-01  5.91061407E-03  8.41811418E-01 -2.56868674E+00 -2.53542976E+00  0.00000000E+00
     511  6.01072659E-02  4.24920135E-03  2.99506859E-05  4.47069055E-01  5.74212999E-03  8.13470491E-01 -2.56884821E+00 -2.53566082E+00  0.00000000E+00
     521  5.99076855E-02  4.21940337E-03  2.95572558E-05  4.46597951E-01  5.68938160E-03  7.94353209E-01 -2.56919467E+00 -2.53599189E+00  0.00000000E+00
     531  6.00636530E-02  4.22939669E-03  2.94544536E-05  4.51125728E-01  5.61070762E-03  7.89055938E-01 -2.56902830E+00 -2.53585475E+00  0.00000000E+00
     541  5.91268206E-02  4.12675231E-03  2.84930922E-05  4.42298873E-01  5.69207805E-03  7.89204178E-01 -2.56928410E+00 -2.53615700E+00  0.00000000E+00
     551  5.87099889E-02  4.07103977E-03  2.77926543E-05  4.41017669E-01  5.63256997E-03  7.83905318E-01 -2.56935128E+00 -2.53629797E+00  0.00000000E+00
     561  5.90391911E-02  4.11674627E-03  2.83110122E-05  4.43165749E-01  5.69522541E-03  7.84955984E-01 -2.56908936E+00 -2.53604881E+00  0.00000000E+00
     571  5.94996333E-02  4.17638259E-03  2.88164184E-05  4.49296049E-01  5.74085121E-03  7.67816803E-01 -2.56923905E+00 -2.53618103E+00  0.00000000E+00
     581  5.95249294E-02  4.16689448E-03  2.84655019E-05  4.53522121E-01  5.62806050E-03  7.65947867E-01 -2.56949958E+00 -2.53639880E+00  0.00000000E+00
     591  5.92388502E-02  4.12356107E-03  2.78762040E-05  4.53528499E-01  5.54361791E-03  7.55592168E-01 -2.56938504E+00 -2.53631113E+00  0.00000000E+00
     601  5.87609939E-02  4.06648953E-03  2.73165395E-05  4.49363357E-01  5.53744037E-03  7.86594394E-01 -2.56936220E+00 -2.53634207E+00  0.00000000E+00
     611  5.85038758E-02  4.04211877E-03  2.70813950E-05  4.47500821E-01  5.58960051E-03  7.96259003E-01 -2.56927106E+00 -2.53621532E+00  0.00000000E+00
     621  5.86019340E-02  4.05218530E-03  2.71016203E-05  4.49831896E-01  5.57681656E-03  7.76969493E-01 -2.56933469E+00 -2.53624210E+00  0.00000000E+00
     631  5.85111318E-02  4.04016466E-03  2.69649956E-05  4.49343248E-01  5.56430469E-03  8.01748633E-01 -2.56895269E+00 -2.53583879E+00  0.00000000E+00
     641  5.87025921E-02  4.07076657E-03  2.74371601E-05  4.48093506E-01  5.63794167E-03  8.07395439E-01 -2.56838521E+00 -2.53527116E+00  0.00000000E+00
     651  5.88372665E-02  4.08054985E-03  2.74376582E-05  4.50726797E-01  5.58337972E-03  7.95952540E-01 -2.56883398E+00 -2.53568350E+00  0.00000000E+00
     661  5.87371707E-02  4.06758058E-03  2.72331525E-05  4.51338694E-01  5.57254582E-03  7.96489421E-01 -2.56885098E+00 -2.53562427E+00  0.00000000E+00
     671  5.82190815E-02  4.00187646E-03  2.65630300E-05  4.47122389E-01  5.52643006E-03  7.79975348E-01 -2.56889875E+00 -2.53566163E+00  0.00000000E+00
     681  5.86635932E-02  4.08979516E-03  2.87556021E-05  4.26942637E-01  5.85095988E-03  7.72935047E-01 -2.56865725E+00 -2.53549060E+00  0.00000000E+00
     691  5.90129306E-02  4.12887279E-03  2.91013371E-05  4.30978490E-01  5.83263049E-03  7.79481669E-01 -2.56805902E+00 -2.53485880E+00  0.00000000E+00
     701  5.90006020E-02  4.11845185E-03  2.88055317E-05  4.33908472E-01  5.75172133E-03  8.02873209E-01 -2.56738503E+00 -2.53424830E+00  0.00000000E+00
     711  5.88526211E-02  4.10804389E-03  2.87913026E-05  4.31317442E-01  5.81517870E-03  7.95487792E-01 -2.56773380E+00 -2.53462269E+00  0.00000000E+00
     721  5.86412960E-02  4.07882073E-03  2.84006404E-05  4.30966753E-01  5.77552952E-03  7.96748883E-01 -2.56750805E+00 -2.53438138E+00  0.00000000E+00
     731  5.88130598E-02  4.09082897E-03  2.83278520E-05  4.35752369E-01  5.70183809E-03  7.85445833E-01 -2.56772938E+00 -2.53460481E+00  0.00000000E+00
     741  5.90285575E-02  4.11184904E-03  2.83904669E-05  4.40272099E-01  5.66236236E-03  7.74962758E-01 -2.56797184E+00 -2.53480733E+00  0.00000000E+00
     751  5.90238685E-02  4.10553758E-03  2.82349516E-05  4.41625304E-01  5.61040295E-03  7.68195875E-01 -2.56782325E+00 -2.53468768E+00  0.00000000E+00
     761  5.83727791E-02  4.03787799E-03  2.76232890E-05  4.35261041E-01  5.68959875E-03  7.61890374E-01 -2.56770339E+00 -2.53456700E+00  0.00000000E+00
     771  5.78543616E-02  3.97566395E-03  2.70000965E-05  4.30590478E-01  5.67191293E-03  7.65646820E-01 -2.56772760E+00 -2.53459500E+00  0.00000000E+00
     781  5.74125369E-02  3.92050795E-03  2.64241542E-05  4.26946509E-01  5.63375740E-03  7.64475976E-01 -2.56732998E+00 -2.53419440E+00  0.00000000E+00
     791  5.68577329E-02  3.86143917E-03  2.58747397E-05  4.21562635E-01  5.67282069E-03  7.63775600E-01 -2.56748861E+00 -2.53433535E+00  0.00000000E+00
     801  5.66389641E-02  3.82876461E-03  2.54477131E-05  4.21357710E-01  5.60202718E-03  7.85335318E-01 -2.56705671E+00 -2.53395967E+00  0.00000000E+00
     811  5.71586070E-02  3.89988784E-03  2.62899526E-05  4.23811858E-01  5.71021703E-03  7.81075580E-01 -2.56732557E+00 -2.53422003E+00  0.00000000E+00
     821  5.75128301E-02  3.94328491E-03  2.67379815E-05  4.26819971E-01  5.73528389E-03  7.75033476E-01 -2.56731704E+00 -2.53424173E+00  0.00000000E+00
     831  5.80316283E-02  4.01184988E-03  2.74956026E-05  4.30553878E-01  5.81307720E-03  7.71629413E-01 -2.56771555E+00 -2.53465792E+00  0.00000000E+00
     841  5.78294110E-02  3.99010044E-03  2.72588814E-05  4.29285218E-01  5.82823438E-03  7.76994322E-01 -2.56823471E+00 -2.53516557E+00  0.00000000E+00
     851  5.77831183E-02  3.97795142E-03  2.70043045E-05  4.31156512E-01  5.76689833E-03  7.78059669E-01 -2.56811051E+00 -2.53505885E+00  0.00000000E+00
     861  5.78075656E-02  3.98558746E-03  2.70697828E-05  4.31960118E-01  5.81030523E-03  7.70983048E-01 -2.56814328E+00 -2.53509284E+00  0.00000000E+00
     871  5.74955141E-02  3.94259155E-03  2.65824375E-05  4.29953907E-01  5.74699820E-03  7.77994436E-01 -2.56838951E+00 -2.53535472E+00  0.00000000E+00
     881  5.76820813E-02  3.96462658E-03  2.67393726E-05  4.32944743E-01  5.75193136E-03  7.75819386E-01 -2.56844229E+00 -2.53540695E+00  0.00000000E+00
     891  5.80446404E-02  4.01104220E-03  2.72843814E-05  4.34700770E-01  5.79215882E-03  7.65341987E-01 -2.56822394E+00 -2.53519582E+00  0.00000000E+00
     901  5.80050488E-02  4.00879126E-03  2.72818664E-05  4.34117925E-01  5.81330795E-03  7.64293709E-01 -2.56811090E+00 -2.53505201E+00  0.00000000E+00
     911  5.82048798E-02  4.02870310E-03  2.74096002E-05  4.37074503E-01  5.78343395E-03  7.59939980E-01 -2.56810771E+00 -2.53501931E+00  0.00000000E+00
     921  5.82922479E-02  4.03371274E-03  2.73081584E-05  4.40550069E-01  5.73679347E-03  7.59852292E-01 -2.56827057E+00 -2.53517303E+00  0.00000000E+00
     931  5.82915176E-02  4.02650540E-03  2.71312517E-05  4.42182666E-01  5.67252278E-03  7.51184969E-01 -2.56824657E+00 -2.53515448E+00  0.00000000E+00
     941  5.78083476E-02  3.97217122E-03  2.66275489E-05  4.37459215E-01  5.68842125E-03  7.47957386E-01 -2.56838150E+00 -2.53530741E+00  0.00000000E+00
     951  5.76929625E-02  3.95783129E-03  2.64570448E-05  4.37003725E-01  5.67928173E-03  7.40683196E-01 -2.56844992E+00 -2.53536946E+00  0.00000000E+00
     961  5.73433716E-02  3.91497107E-03  2.60223686E-05  4.34062521E-01  5.65541719E-03  7.27952502E-01 -2.56830696E+00 -2.53523293E+00  0.00000000E+00
     971  5.77478446E-02  3.96274846E-03  2.64810008E-05  4.37891533E-01  5.66648152E-03  7.25915734E-01 -2.56803773E+00 -2.53498019E+00  0.00000000E+00
     981  5.75353507E-02  3.93201936E-03  2.61048797E-05  4.37180488E-01  5.61024293E-03  7.27208814E-01 -2.56845059E+00 -2.53535481E+00  0.00000000E+00
     991  5.75200438E-02  3.93371612E-03  2.61844006E-05  4.35952924E-01  5.64144690E-03  7.16077988E-01 -2.56845781E+00 -2.53533748E+00  0.00000000E+00
    1001  5.72538912E-02  3.90313416E-03  2.58728710E-05  4.33895756E-01  5.64113486E-03  7.17223984E-01 -2.56816341E+00 -2.53509240E+00  0.00000000E+00
    1011  5.75272280E-02  3.93169969E-03  2.60389812E-05  4.38509959E-01  5.61579207E-03  7.19447839E-01 -2.56836252E+00 -2.53533033E+00  0.00000000E+00
    1021  5.73318175E-02  3.90242204E-03  2.56844119E-05  4.37814164E-01  5.55413136E-03  7.27416544E-01 -2.56826802E+00 -2.53522730E+00  0.00000000E+00
    1031  5.72521268E-02  3.88651018E-03  2.54191718E-05  4.39054687E-01  5.49294335E-03  7.36118564E-01 -2.56796630E+00 -2.53497700E+00  0.00000000E+00
    1041  5.71979003E-02  3.87188559E-03  2.51644011E-05  4.40473947E-01  5.41697607E-03  7.28037247E-01 -2.56821217E+00 -2.53520182E+00  0.00000000E+00
    1051  5.71697939E-02  3.86399210E-03  2.49887067E-05  4.42108088E-01  5.37475255E-03  7.21301022E-01 -2.56838268E+00 -2.53533672E+00  0.00000000E+00
    1061  5.72770967E-02  3.87098150E-03  2.49230787E-05  4.45580825E-01  5.32700594E-03  7.19601128E-01 -2.56838851E+00 -2.53536760E+00  0.00000000E+00
    1071  5.70224771E-02  3.84136841E-03  2.46095455E-05  4.44082407E-01  5.32240208E-03  7.17729045E-01 -2.56825364E+00 -2.53521429E+00  0.00000000E+00
    1081  5.67762160E-02  3.81582118E-03  2.43641472E-05  4.42231568E-01  5.34475421E-03  7.18226568E-01 -2.56832660E+00 -2.53527253E+00  0.00000000E+00
    1091  5.66616192E-02  3.79964607E-03  2.41471683E-05  4.42482292E-01  5.31609846E-03  7.16439015E-01 -2.56863610E+00 -2.53559899E+00  0.00000000E+00
    1101  5.66776325E-02  3.79676948E-03  2.40258014E-05  4.44443582E-01  5.27376218E-03  7.08288174E-01 -2.56858175E+00 -2.53556671E+00  0.00000000E+00
    1111  5.69998125E-02  3.84109057E-03  2.45515115E-05  4.45313132E-01  5.34321528E-03  7.12255409E-01 -2.56832529E+00 -2.53527476E+00  0.00000000E+00
    1121  5.67312954E-02  3.80769836E-03  2.42166287E-05  4.43240863E-01  5.31746569E-03  7.08951552E-01 -2.56810785E+00 -2.53508395E+00  0.00000000E+00
    1131  5.67314140E-02  3.80716837E-03  2.41867447E-05  4.43773085E-01  5.31256159E-03  7.04075425E-01 -2.56834005E+00 -2.53528270E+00  0.00000000E+00
    1141  5.65667817E-02  3.78705097E-03  2.39603368E-05  4.43110073E-01  5.29934274E-03  7.10760033E-01 -2.56780857E+00 -2.53479189E+00  0.00000000E+00
    1151  5.66474360E-02  3.79515692E-03  2.40273210E-05  4.43936203E-01  5.29009075E-03  7.12777354E-01 -2.56740508E+00 -2.53442046E+00  0.00000000E+00
    1161  5.66021233E-02  3.78206168E-03  2.37970608E-05  4.45444713E-01  5.21822732E-03  7.11137756E-01 -2.56729575E+00 -2.53430222E+00  0.00000000E+00
    1171  5.65529672E-02  3.77453388E-03  2.37146755E-05  4.45158066E-01  5.20049022E-03  7.03714103E-01 -2.56738478E+00 -2.53438296E+00  0.00000000E+00
    1181  5.65015663E-02  3.78000459E-03  2.39125728E-05  4.42146199E-01  5.30229735E-03  6.96959076E-01 -2.56718451E+00 -2.53419334E+00  0.00000000E+00
    1191  5.66826160E-02  3.79728584E-03  2.39937571E-05  4.45335433E-01  5.27332393E-03  6.99479551E-01 -2.56756166E+00 -2.53457938E+00  0.00000000E+00
    1201  5.65353443E-02  3.77680001E-03  2.37427077E-05  4.45168623E-01  5.23892421E-03  6.96319868E-01 -2.56770263E+00 -2.53470157E+00  0.00000000E+00
    1211  5.64839835E-02  3.76726842E-03  2.35817914E-05  4.46136931E-01  5.20529330E-03  6.89693263E-01 -2.56768145E+00 -2.53468726E+00  0.00000000E+00
    1221  5.66078459E-02  3.78309395E-03  2.37552086E-05  4.46722078E-01  5.22169623E-03  6.81219916E-01 -2.56754654E+00 -2.53452271E+00  0.00000000E+00
    1231  5.64947378E-02  3.77183249E-03  2.36727008E-05  4.45346496E-01  5.23551518E-03  6.78170178E-01 -2.56760161E+00 -2.53456403E+00  0.00000000E+00
    1241  5.64087081E-02  3.75701541E-03  2.34741033E-05  4.45652869E-01  5.18945644E-03  6.78646572E-01 -2.56756652E+00 -2.53451847E+00  0.00000000E+00
    1251  5.61481780E-02  3.73079632E-03  2.32320239E-05  4.43631272E-01  5.21747936E-03  6.71194401E-01 -2.56742553E+00 -2.53433983E+00  0.00000000E+00
    1261  5.60549312E-02  3.71920208E-03  2.31157260E-05  4.42959553E-01  5.20726720E-03  6.84848679E-01 -2.56773134E+00 -2.53468211E+00  0.00000000E+00
    1271  5.59969568E-02  3.70764945E-03  2.29398601E-05  4.43747240E-01  5.16163752E-03  6.83199450E-01 -2.56750674E+00 -2.53445516E+00  0.00000000E+00
    1281  5.59535554E-02  3.70076672E-03  2.28306547E-05  4.44334168E-01  5.14337359E-03  6.86154769E-01 -2.56776256E+00 -2.53468240E+00  0.00000000E+00
    1291  5.61571183E-02  3.72746949E-03  2.31412647E-05  4.44815108E-01  5.17839754E-03  6.80783162E-01 -2.56779340E+00 -2.53471851E+00  0.00000000E+00
    1301  5.60479032E-02  3.71131713E-03  2.29439634E-05  4.44746820E-01  5.14322308E-03  6.92254098E-01 -2.56796086E+00 -2.53486470E+00  0.00000000E+00
    1311  5.60819073E-02  3.71169606E-03  2.28809677E-05  4.46384396E-01  5.11223518E-03  6.93388712E-01 -2.56804797E+00 -2.53494196E+00  0.00000000E+00
    1321  5.61648626E-02  3.72858535E-03  2.32458049E-05  4.42640821E-01  5.18061740E-03  6.90885375E-01 -2.56829676E+00 -2.53517088E+00  0.00000000E+00
    1331  5.61616374E-02  3.72497537E-03  2.31414422E-05  4.44067127E-01  5.15131015E-03  6.90937158E-01 -2.56821391E+00 -2.53508222E+00  0.00000000E+00
    1341  5.63510369E-02  3.74816973E-03  2.33704975E-05  4.45491505E-01  5.16831604E-03  6.94711335E-01 -2.56837146E+00 -2.53522136E+00  0.00000000E+00
    1351  5.66023880E-02  3.79765471E-03  2.45308012E-05  4.33030721E-01  5.35866829E-03  6.95856291E-01 -2.56828129E+00 -2.53510864E+00  0.00000000E+00
    1361  5.67331434E-02  3.82474326E-03  2.50856985E-05  4.28389275E-01  5.46938655E-03  6.98886712E-01 -2.56815701E+00 -2.53500368E+00  0.00000000E+00
    1371  5.66609111E-02  3.81371648E-03  2.49225987E-05  4.28817014E-01  5.44379397E-03  7.11359925E-01 -2.56854257E+00 -2.53540245E+00  0.00000000E+00
    1381  5.65147152E-02  3.79713954E-03  2.47763601E-05  4.27199836E-01  5.44351305E-03  7.05103328E-01 -2.56867871E+00 -2.53551579E+00  0.00000000E+00
    1391  5.67455031E-02  3.82338899E-03  2.50146959E-05  4.29603304E-01  5.44450898E-03  7.00320034E-01 -2.56853047E+00 -2.53535660E+00  0.00000000E+00
    1401  5.67786138E-02  3.82426328E-03  2.49505867E-05  4.31325256E-01  5.41847860E-03  6.99528720E-01 -2.56866504E+00 -2.53548481E+00  0.00000000E+00
