   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.06008332E-02 -1.35893180E-02  9.68487175E-03  1.97697741E-02  0.00000000E+00
     100 -5.79125438E-02  2.33532709E-02 -3.28141061E-02  7.05407935E-02  0.00000000E+00
     200  8.60342005E-03  1.89527924E-02 -1.11470482E-02  2.36110961E-02  0.00000000E+00
     300  8.39781490E-03 -1.36490138E-02 -5.61852726E-02  5.84260535E-02  0.00000000E+00
     400 -1.40001726E-02 -4.24397392E-02  2.48405184E-02  5.11291272E-02  0.00000000E+00
     500  1.23619528E-02  1.39055331E-02  2.15434583E-02  2.84658097E-02  0.00000000E+00
     600 -6.91413046E-03  1.51544249E-03  3.22597711E-02  3.30271797E-02  0.00000000E+00
     700 -1.45261370E-02 -7.61507491E-03  1.69996528E-02  2.36217319E-02  0.00000000E+00
     800 -2.61951114E-02 -2.84263019E-02 -1.50529278E-02  4.14828776E-02  0.00000000E+00
     900  2.67862319E-02 -5.88781453E-02 -1.63469623E-02  6.67185236E-02  0.00000000E+00
    1000 -5.32722819E-02 -6.15922125E-02  1.08175960E-02  8.21496016E-02  0.00000000E+00
    1100  3.58549795E-02 -5.06718239E-02  1.38890439E-02  6.36091097E-02  0.00000000E+00
    1200  1.42906396E-02  2.06541085E-02 -4.49305360E-02  5.14739511E-02  0.00000000E+00
    1300 -7.18111185E-04  2.80290446E-03  2.59837919E-02  2.61443952E-02  0.00000000E+00
    1400  3.31020978E-03  6.06518088E-02 -3.83998530E-02  7.18620074E-02  0.00000000E+00
    1500  4.06178721E-02 -8.53166806E-03 -2.26917328E-02  4.73023850E-02  0.00000000E+00
    1600  7.07380960E-03 -2.04692670E-02  3.51239293E-02  4.12640289E-02  0.00000000E+00
    1700 -3.97655991E-02 -2.31313760E-02  3.10685057E-03  4.61087405E-02  0.00000000E+00
    1800 -2.69142932E-02 -1.16774913E-02 -2.96031924E-03  2.94873951E-02  0.00000000E+00
    1900  1.79491312E-02 -2.84770485E-02  2.63837931E-02  4.27693599E-02  0.00000000E+00
    2000  6.56293095E-03  6.42674821E-03  1.04037585E-02  1.38785210E-02  0.00000000E+00
    2100  1.10804359E-02  1.18971645E-02  5.18748741E-03  1.70654215E-02  0.00000000E+00
    2200  3.51718025E-02  8.10569421E-02  3.86434543E-02  9.64396190E-02  0.00000000E+00
    2300  7.41523811E-03  2.87990170E-02 -2.26098082E-02  3.73573629E-02  0.00000000E+00
    2400 -2.43839162E-02  1.62971658E-02 -7.14254991E-02  7.72125308E-02  0.00000000E+00
    2500  2.83349160E-02 -2.69621171E-02 -6.15756848E-03  3.95946824E-02  0.00000000E+00
    2600 -5.69434220E-02  2.28960098E-02 -2.36273438E-02  6.57649752E-02  0.00000000E+00
    2700 -3.81244143E-03 -8.09123796E-03  2.86675343E-02  3.00304906E-02  0.00000000E+00
    2800 -2.92914639E-03  3.96513084E-02  4.08949892E-02  5.70368854E-02  0.00000000E+00
    2900 -1.71506987E-02  5.47661554E-03  6.26848993E-02  6.52191413E-02  0.00000000E+00
    3000  4.98863853E-02  1.07362924E-04  1.22486738E-02  5.13682098E-02  0.00000000E+00
    3100  3.86935580E-02 -4.52842827E-02 -7.16545572E-02  9.31785022E-02  0.00000000E+00
    3200 -2.33950998E-02 -1.85938188E-02 -8.07377815E-02  8.60909411E-02  0.00000000E+00
    3300 -4.20908183E-02 -6.82783533E-03  3.95736961E-02  5.81750268E-02  0.00000000E+00
    3400 -8.77619092E-03  4.30115093E-02  7.10598384E-02  8.35255176E-02  0.00000000E+00
    3500 -3.34117000E-02  8.02197912E-03 -4.49580611E-02  5.65855203E-02  0.00000000E+00
    3600 -1.12092178E-02 -4.73192742E-02  1.30383815E-02  5.03463967E-02  0.00000000E+00
    3700  2.83498159E-03 -4.24245366E-02  1.60320307E-02  4.54412196E-02  0.00000000E+00
    3800  4.93691196E-02 -2.87216053E-02  6.52445066E-02  8.67126647E-02  0.00000000E+00
    3900  6.82278894E-03  3.20964926E-02  2.36930401E-02  4.04733917E-02  0.00000000E+00
    4000  4.45726655E-03  2.17426736E-03 -1.76857747E-02  1.83679419E-02  0.00000000E+00
    4100  1.49520858E-02 -3.32613013E-02 -4.80571339E-02  6.03271676E-02  0.00000000E+00
    4200 -2.30353749E-02 -5.55325748E-02 -4.13061135E-02  7.29430626E-02  0.00000000E+00
