   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  1.12199051E-02 -8.26022684E-02  9.31440957E-01  9.35163770E-01  0.00000000E+00
     100  1.79713455E-02 -7.56482162E-02  1.04025653E+00  1.04315831E+00  0.00000000E+00
     200  1.88223341E-02 -5.56300338E-02  1.05060001E+00  1.05224016E+00  0.00000000E+00
     300  1.72162077E-02 -3.78930764E-02  1.04990274E+00  1.05072739E+00  0.00000000E+00
     400  1.46155272E-02 -2.50490392E-02  1.04512303E+00  1.04552533E+00  0.00000000E+00
     500  1.16261322E-02 -1.69022137E-02  1.03853407E+00  1.03873667E+00  0.00000000E+00
     600  8.65071843E-03 -1.23463022E-02  1.03129049E+00  1.03140067E+00  0.00000000E+00
     700  5.96194742E-03 -1.02239780E-02  1.02404619E+00  1.02411458E+00  0.00000000E+00
     800  3.70489620E-03 -9.61016002E-03  1.01713763E+00  1.01718978E+00  0.00000000E+00
     900  1.92445481E-03 -9.85292753E-03  1.01069800E+00  1.01074785E+00  0.00000000E+00
    1000  6.00778509E-04 -1.05277600E-02  1.00474580E+00  1.00480113E+00  0.00000000E+00
    1100 -3.21451416E-04 -1.13735154E-02  9.99246516E-01  9.99311293E-01  0.00000000E+00
    1200 -9.12578097E-04 -1.22375150E-02  9.94148983E-01  9.94224718E-01  0.00000000E+00
    1300 -1.24489161E-03 -1.30362353E-02  9.89403447E-01  9.89490108E-01  0.00000000E+00
    1400 -1.38505094E-03 -1.37293707E-02  9.84968547E-01  9.85065202E-01  0.00000000E+00
    1500 -1.39035799E-03 -1.43031338E-02  9.80812608E-01  9.80917879E-01  0.00000000E+00
    1600 -1.30752368E-03 -1.47594324E-02  9.76912458E-01  9.77024821E-01  0.00000000E+00
    1700 -1.17290497E-03 -1.51087724E-02  9.73251465E-01  9.73369439E-01  0.00000000E+00
    1800 -1.01352608E-03 -1.53656246E-02  9.69817561E-01  9.69939808E-01  0.00000000E+00
    1900 -8.48457965E-04 -1.55454961E-02  9.66601564E-01  9.66726934E-01  0.00000000E+00
    2000 -6.90299972E-04 -1.56632025E-02  9.63595877E-01  9.63723418E-01  0.00000000E+00
    2100 -5.46610692E-04 -1.57319696E-02  9.60793538E-01  9.60922482E-01  0.00000000E+00
    2200 -4.21197577E-04 -1.57630806E-02  9.58187575E-01  9.58317318E-01  0.00000000E+00
    2300 -3.15217747E-04 -1.57658543E-02  9.55770613E-01  9.55900689E-01  0.00000000E+00
    2400 -2.28073129E-04 -1.57478046E-02  9.53534678E-01  9.53664735E-01  0.00000000E+00
    2500 -1.58105184E-04 -1.57148787E-02  9.51471143E-01  9.51600924E-01  0.00000000E+00
    2600 -1.03108888E-04 -1.56717152E-02  9.49570794E-01  9.49700113E-01  0.00000000E+00
    2700 -6.06934375E-05 -1.56218867E-02  9.47823956E-01  9.47952688E-01  0.00000000E+00
    2800 -2.85196579E-05 -1.55681137E-02  9.46220671E-01  9.46348734E-01  0.00000000E+00
