   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  4.54083727E-02  2.06192032E-03  4.25151539E-06  6.66666667E-01 -6.87105950E-39  0.00000000E+00 -5.45586686E+00 -5.26755643E+00  0.00000000E+00
      11  6.24182720E-02  4.05260212E-03  1.85961210E-05  6.22572818E-01  9.75296798E-24  0.00000000E+00 -6.05153536E+00 -5.82234298E+00  0.00000000E+00
      31  7.80716148E-02  6.15461033E-03  3.88721972E-05  6.57928642E-01  3.70238680E-24  0.00000000E+00 -6.08226968E+00 -5.84825152E+00  0.00000000E+00
      41  7.82324889E-02  6.15461959E-03  3.84519603E-05  6.61627702E-01  2.13654243E-24  0.00000000E+00 -6.08477218E+00 -5.85005335E+00  0.00000000E+00
      51  7.80711349E-02  6.11743239E-03  3.77976464E-05  6.63329437E-01  1.39106150E-24  0.00000000E+00 -6.08609845E+00 -5.85088151E+00  0.00000000E+00
      61  7.77832200E-02  6.06609287E-03  3.70666446E-05  6.64228439E-01  9.88217408E-25  0.00000000E+00 -6.08690464E+00 -5.85131139E+00  0.00000000E+00
      71  7.74562279E-02  6.01151290E-03  3.63460163E-05  6.64750610E-01  7.50382406E-25  0.00000000E+00 -6.08743949E+00 -5.85155486E+00  0.00000000E+00
      81  7.71489746E-02  5.96155257E-03  3.57083719E-05  6.65088516E-01  5.97300455E-25  0.00000000E+00 -6.08781666E+00 -5.85170234E+00  0.00000000E+00
      91  7.68848745E-02  5.91915931E-03  3.51768544E-05  6.65330843E-01  4.90595030E-25  0.00000000E+00 -6.08809490E+00 -5.85179665E+00  0.00000000E+00
     101  7.66667099E-02  5.88439106E-03  3.47454097E-05  6.65517709E-01  4.11560018E-25  0.00000000E+00 -6.08830739E+00 -5.85185972E+00  0.00000000E+00
     111  7.64895212E-02  5.85627348E-03  3.43986671E-05  6.65668220E-01  3.50509744E-25  0.00000000E+00 -6.08847419E+00 -5.85190357E+00  0.00000000E+00
     121  7.63470512E-02  5.83371908E-03  3.41215064E-05  6.65792711E-01  3.01933333E-25  0.00000000E+00 -6.08860812E+00 -5.85193525E+00  0.00000000E+00
     131  7.62340525E-02  5.81584296E-03  3.39020670E-05  6.65897611E-01  2.62398488E-25  0.00000000E+00 -6.08871773E+00 -5.85195910E+00  0.00000000E+00
     141  7.61467952E-02  5.80202053E-03  3.37320499E-05  6.65987317E-01  2.29625608E-25  0.00000000E+00 -6.08880895E+00 -5.85197796E+00  0.00000000E+00
     151  7.60830387E-02  5.79187216E-03  3.36063376E-05  6.66064957E-01  2.02045888E-25  0.00000000E+00 -6.08888603E+00 -5.85199378E+00  0.00000000E+00
     161  7.60419569E-02  5.78524587E-03  3.35226823E-05  6.66132715E-01  1.78578442E-25  0.00000000E+00 -6.08895211E+00 -5.85200800E+00  0.00000000E+00
     171  7.60241737E-02  5.78221986E-03  3.34816873E-05  6.66191893E-01  1.58531931E-25  0.00000000E+00 -6.08900959E+00 -5.85202177E+00  0.00000000E+00
     181  7.60319592E-02  5.78313206E-03  3.34871544E-05  6.66242702E-01  1.41610664E-25  0.00000000E+00 -6.08906043E+00 -5.85203612E+00  0.00000000E+00
     191  7.60695682E-02  5.78863481E-03  3.35467973E-05  6.66283634E-01  1.28053579E-25  0.00000000E+00 -6.08910631E+00 -5.85205209E+00  0.00000000E+00
     201  7.61435038E-02  5.79974286E-03  3.36729945E-05  6.66310142E-01  1.18964298E-25  0.00000000E+00 -6.08914890E+00 -5.85207079E+00  0.00000000E+00
     211  7.62617407E-02  5.81772738E-03  3.38818702E-05  6.66312923E-01  1.16757892E-25  0.00000000E+00 -6.08919017E+00 -5.85209333E+00  0.00000000E+00
     221  7.64289172E-02  5.84338125E-03  3.41847563E-05  6.66279575E-01  1.24706010E-25  0.00000000E+00 -6.08923269E+00 -5.85212029E+00  0.00000000E+00
     231  7.66323351E-02  5.87479754E-03  3.45602843E-05  6.66212366E-01  1.42204135E-25  0.00000000E+00 -6.08927972E+00 -5.85215018E+00  0.00000000E+00
