   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -1.55378966E-02 -5.79869929E-02  3.05446986E-01  3.11290506E-01  0.00000000E+00
     100 -5.98036330E-03 -5.71603620E-02  3.51189125E-01  3.55860749E-01  0.00000000E+00
     200  4.00888186E-03 -5.31859000E-02  3.59721280E-01  3.63653970E-01  0.00000000E+00
     300  1.10596220E-02 -4.75586844E-02  3.59973116E-01  3.63269581E-01  0.00000000E+00
     400  1.51974694E-02 -4.14055427E-02  3.56596006E-01  3.59313364E-01  0.00000000E+00
     500  1.71578384E-02 -3.54340114E-02  3.52011673E-01  3.54206407E-01  0.00000000E+00
     600  1.77007417E-02 -3.00555582E-02  3.47432359E-01  3.49178889E-01  0.00000000E+00
     700  1.73741641E-02 -2.54476308E-02  3.43384166E-01  3.44763875E-01  0.00000000E+00
     800  1.65399424E-02 -2.16258621E-02  3.40018780E-01  3.41107049E-01  0.00000000E+00
     900  1.54376314E-02 -1.85241958E-02  3.37302668E-01  3.38163505E-01  0.00000000E+00
    1000  1.42277288E-02 -1.60502525E-02  3.35129896E-01  3.35815554E-01  0.00000000E+00
    1100  1.30163310E-02 -1.41113129E-02  3.33382412E-01  3.33934704E-01  0.00000000E+00
    1200  1.18701526E-02 -1.26221262E-02  3.31956816E-01  3.32408704E-01  0.00000000E+00
    1300  1.08270530E-02 -1.15053918E-02  3.30772406E-01  3.31149489E-01  0.00000000E+00
    1400  9.90419838E-03 -1.06908473E-02  3.29770267E-01  3.30092133E-01  0.00000000E+00
    1500  9.10459273E-03 -1.01150280E-02  3.28908983E-01  3.29190411E-01  0.00000000E+00
    1600  8.42221496E-03 -9.72177927E-03  3.28159824E-01  3.28411810E-01  0.00000000E+00
    1700  7.84589503E-03 -9.46297066E-03  3.27502602E-01  3.27733214E-01  0.00000000E+00
    1800  7.36208602E-03 -9.29891524E-03  3.26922579E-01  3.27137651E-01  0.00000000E+00
    1900  6.95672577E-03 -9.19825928E-03  3.26408361E-01  3.26612036E-01  0.00000000E+00
    2000  6.61639325E-03 -9.13735159E-03  3.25950573E-01  3.26145741E-01  0.00000000E+00
    2100  6.32895038E-03 -9.09923631E-03  3.25541111E-01  3.25729745E-01  0.00000000E+00
    2200  6.08383002E-03 -9.07245440E-03  3.25172753E-01  3.25356177E-01  0.00000000E+00
    2300  5.87209601E-03 -9.04981922E-03  3.24838998E-01  3.25018085E-01  0.00000000E+00
    2400  5.68636711E-03 -9.02728623E-03  3.24534024E-01  3.24709346E-01  0.00000000E+00
    2500  5.52066901E-03 -9.00298653E-03  3.24252688E-01  3.24424625E-01  0.00000000E+00
    2600  5.37025576E-03 -8.97645264E-03  3.23990542E-01  3.24159355E-01  0.00000000E+00
    2700  5.23142638E-03 -8.94803395E-03  3.23743823E-01  3.23909707E-01  0.00000000E+00
    2800  5.10135090E-03 -8.91848150E-03  3.23509431E-01  3.23672543E-01  0.00000000E+00
    2900  4.97791304E-03 -8.88867230E-03  3.23284881E-01  3.23445362E-01  0.00000000E+00
    3000  4.85957238E-03 -8.85944140E-03  3.23068237E-01  3.23226222E-01  0.00000000E+00
    3100  4.74524599E-03 -8.83149250E-03  3.22858038E-01  3.23013661E-01  0.00000000E+00
    3200  4.63420863E-03 -8.80536184E-03  3.22653225E-01  3.22806620E-01  0.00000000E+00
    3300  4.52600951E-03 -8.78141588E-03  3.22453061E-01  3.22604363E-01  0.00000000E+00
    3400  4.42040375E-03 -8.75986803E-03  3.22257066E-01  3.22406407E-01  0.00000000E+00
    3500  4.31729645E-03 -8.74080439E-03  3.22064952E-01  3.22212467E-01  0.00000000E+00
    3600  4.21669771E-03 -8.72421182E-03  3.21876576E-01  3.22022395E-01  0.00000000E+00
    3700  4.11868667E-03 -8.71000446E-03  3.21691897E-01  3.21836145E-01  0.00000000E+00
    3800  4.02338340E-03 -8.69804673E-03  3.21510940E-01  3.21653740E-01  0.00000000E+00
    3900  3.93092714E-03 -8.68817198E-03  3.21333773E-01  3.21475241E-01  0.00000000E+00
    4000  3.84145997E-03 -8.68019689E-03  3.21160484E-01  3.21300730E-01  0.00000000E+00
    4100  3.75511477E-03 -8.67393198E-03  3.20991170E-01  3.21130299E-01  0.00000000E+00
    4200  3.67200691E-03 -8.66918900E-03  3.20825922E-01  3.20964034E-01  0.00000000E+00
    4300  3.59222881E-03 -8.66578574E-03  3.20664823E-01  3.20802009E-01  0.00000000E+00
    4400  3.51584682E-03 -8.66354900E-03  3.20507939E-01  3.20644284E-01  0.00000000E+00
    4500  3.44289994E-03 -8.66231626E-03  3.20355315E-01  3.20490900E-01  0.00000000E+00
    4600  3.37340000E-03 -8.66193632E-03  3.20206977E-01  3.20341875E-01  0.00000000E+00
    4700  3.30733282E-03 -8.66226956E-03  3.20062929E-01  3.20197208E-01  0.00000000E+00
    4800  3.24466013E-03 -8.66318770E-03  3.19923154E-01  3.20056875E-01  0.00000000E+00
    4900  3.18532205E-03 -8.66457348E-03  3.19787613E-01  3.19920832E-01  0.00000000E+00
    5000  3.12923976E-03 -8.66632023E-03  3.19656250E-01  3.19789017E-01  0.00000000E+00
    5100  3.07631838E-03 -8.66833143E-03  3.19528987E-01  3.19661348E-01  0.00000000E+00
    5200  3.02644980E-03 -8.67052024E-03  3.19405735E-01  3.19537730E-01  0.00000000E+00
    5300  2.97951541E-03 -8.67280909E-03  3.19286388E-01  3.19418053E-01  0.00000000E+00
    5400  2.93538872E-03 -8.67512925E-03  3.19170828E-01  3.19302195E-01  0.00000000E+00
    5500  2.89393769E-03 -8.67742038E-03  3.19058928E-01  3.19190025E-01  0.00000000E+00
    5600  2.85502686E-03 -8.67963012E-03  3.18950553E-01  3.19081404E-01  0.00000000E+00
    5700  2.81851922E-03 -8.68171357E-03  3.18845562E-01  3.18976188E-01  0.00000000E+00
    5800  2.78427783E-03 -8.68363287E-03  3.18743811E-01  3.18874230E-01  0.00000000E+00
    5900  2.75216716E-03 -8.68535668E-03  3.18645152E-01  3.18775380E-01  0.00000000E+00
    6000  2.72205424E-03 -8.68685966E-03  3.18549438E-01  3.18679487E-01  0.00000000E+00
    6100  2.69380957E-03 -8.68812197E-03  3.18456522E-01  3.18586403E-01  0.00000000E+00
    6200  2.66730781E-03 -8.68912870E-03  3.18366258E-01  3.18495981E-01  0.00000000E+00
    6300  2.64242838E-03 -8.68986940E-03  3.18278505E-01  3.18408076E-01  0.00000000E+00
    6400  2.61905579E-03 -8.69033751E-03  3.18193123E-01  3.18322549E-01  0.00000000E+00
