   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -2.61681536E-03 -5.42170681E-02  2.28219959E+00  2.28284501E+00  0.00000000E+00
     100  1.14500448E-02 -4.53244360E-02  2.56533243E+00  2.56575834E+00  0.00000000E+00
     200  1.98749029E-02 -3.22505506E-02  2.62093536E+00  2.62120912E+00  0.00000000E+00
     300  2.26413296E-02 -2.08057830E-02  2.64724724E+00  2.64742582E+00  0.00000000E+00
     400  2.16350988E-02 -1.18140523E-02  2.66144068E+00  2.66155484E+00  0.00000000E+00
     500  1.85293976E-02 -5.33626902E-03  2.66987375E+00  2.66994338E+00  0.00000000E+00
     600  1.45737525E-02 -1.08930173E-03  2.67532936E+00  2.67536928E+00  0.00000000E+00
     700  1.05871436E-02  1.34480848E-03  2.67910835E+00  2.67912961E+00  0.00000000E+00
     800  7.03557911E-03  2.41114534E-03  2.68185262E+00  2.68186293E+00  0.00000000E+00
     900  4.13068821E-03  2.52539278E-03  2.68390044E+00  2.68390481E+00  0.00000000E+00
    1000  1.91885384E-03  2.04297187E-03  2.68544577E+00  2.68544723E+00  0.00000000E+00
    1100  3.49923305E-04  1.24461074E-03  2.68661112E+00  2.68661143E+00  0.00000000E+00
    1200 -6.74574035E-04  3.34700930E-04  2.68748154E+00  2.68748164E+00  0.00000000E+00
    1300 -1.26980424E-03 -5.51171217E-04  2.68812059E+00  2.68812094E+00  0.00000000E+00
    1400 -1.54828235E-03 -1.33365688E-03  2.68857818E+00  2.68857895E+00  0.00000000E+00
    1500 -1.60920505E-03 -1.97562724E-03  2.68889455E+00  2.68889575E+00  0.00000000E+00
    1600 -1.53370169E-03 -2.46909055E-03  2.68910248E+00  2.68910405E+00  0.00000000E+00
    1700 -1.38393023E-03 -2.82425828E-03  2.68922869E+00  2.68923053E+00  0.00000000E+00
    1800 -1.20448445E-03 -3.06113844E-03  2.68929476E+00  2.68929677E+00  0.00000000E+00
    1900 -1.02500801E-03 -3.20354060E-03  2.68931798E+00  2.68932008E+00  0.00000000E+00
    2000 -8.63254598E-04 -3.27513685E-03  2.68931193E+00  2.68931406E+00  0.00000000E+00
    2100 -7.28103555E-04 -3.29714189E-03  2.68928709E+00  2.68928921E+00  0.00000000E+00
    2200 -6.22245835E-04 -3.28718461E-03  2.68925136E+00  2.68925344E+00  0.00000000E+00
    2300 -5.44404133E-04 -3.25899720E-03  2.68921052E+00  2.68921255E+00  0.00000000E+00
    2400 -4.91053178E-04 -3.22261930E-03  2.68916865E+00  2.68917062E+00  0.00000000E+00
    2500 -4.57670145E-04 -3.18488707E-03  2.68912846E+00  2.68913038E+00  0.00000000E+00
    2600 -4.39580285E-04 -3.15004286E-03  2.68909165E+00  2.68909353E+00  0.00000000E+00
    2700 -4.32477142E-04 -3.12035601E-03  2.68905912E+00  2.68906097E+00  0.00000000E+00
    2800 -4.32697193E-04 -3.09668885E-03  2.68903125E+00  2.68903306E+00  0.00000000E+00
    2900 -4.37320910E-04 -3.07897399E-03  2.68900797E+00  2.68900977E+00  0.00000000E+00
    3000 -4.44160357E-04 -3.06659156E-03  2.68898899E+00  2.68899078E+00  0.00000000E+00
    3100 -4.51680303E-04 -3.05864952E-03  2.68897387E+00  2.68897565E+00  0.00000000E+00
    3200 -4.58887374E-04 -3.05417845E-03  2.68896206E+00  2.68896384E+00  0.00000000E+00
    3300 -4.65210913E-04 -3.05225620E-03  2.68895303E+00  2.68895481E+00  0.00000000E+00
    3400 -4.70390463E-04 -3.05207824E-03  2.68894625E+00  2.68894802E+00  0.00000000E+00
    3500 -4.74378121E-04 -3.05298861E-03  2.68894122E+00  2.68894299E+00  0.00000000E+00
    3600 -4.77259222E-04 -3.05448435E-03  2.68893751E+00  2.68893929E+00  0.00000000E+00
    3700 -4.79191683E-04 -3.05620339E-03  2.68893476E+00  2.68893654E+00  0.00000000E+00
    3800 -4.80362379E-04 -3.05790375E-03  2.68893268E+00  2.68893446E+00  0.00000000E+00
    3900 -4.80957959E-04 -3.05943952E-03  2.68893101E+00  2.68893279E+00  0.00000000E+00
    4000 -4.81147168E-04 -3.06073708E-03  2.68892957E+00  2.68893136E+00  0.00000000E+00
    4100 -4.81071807E-04 -3.06177384E-03  2.68892824E+00  2.68893003E+00  0.00000000E+00
    4200 -4.80843785E-04 -3.06256049E-03  2.68892691E+00  2.68892870E+00  0.00000000E+00
    4300 -4.80546152E-04 -3.06312701E-03  2.68892552E+00  2.68892731E+00  0.00000000E+00
    4400 -4.80236448E-04 -3.06351238E-03  2.68892403E+00  2.68892582E+00  0.00000000E+00
    4500 -4.79951163E-04 -3.06375744E-03  2.68892243E+00  2.68892422E+00  0.00000000E+00
    4600 -4.79710437E-04 -3.06390031E-03  2.68892071E+00  2.68892250E+00  0.00000000E+00
    4700 -4.79522476E-04 -3.06397392E-03  2.68891889E+00  2.68892068E+00  0.00000000E+00
    4800 -4.79387384E-04 -3.06400490E-03  2.68891696E+00  2.68891875E+00  0.00000000E+00
    4900 -4.79300267E-04 -3.06401360E-03  2.68891496E+00  2.68891674E+00  0.00000000E+00
    5000 -4.79253613E-04 -3.06401453E-03  2.68891288E+00  2.68891467E+00  0.00000000E+00
    5100 -4.79238996E-04 -3.06401734E-03  2.68891076E+00  2.68891255E+00  0.00000000E+00
    5200 -4.79248211E-04 -3.06402777E-03  2.68890861E+00  2.68891039E+00  0.00000000E+00
    5300 -4.79273955E-04 -3.06404859E-03  2.68890643E+00  2.68890822E+00  0.00000000E+00
    5400 -4.79310157E-04 -3.06408054E-03  2.68890424E+00  2.68890603E+00  0.00000000E+00
    5500 -4.79352072E-04 -3.06412301E-03  2.68890206E+00  2.68890385E+00  0.00000000E+00
    5600 -4.79396212E-04 -3.06417461E-03  2.68889988E+00  2.68890167E+00  0.00000000E+00
    5700 -4.79440190E-04 -3.06423362E-03  2.68889772E+00  2.68889951E+00  0.00000000E+00
    5800 -4.79482520E-04 -3.06429824E-03  2.68889558E+00  2.68889737E+00  0.00000000E+00
    5900 -4.79522411E-04 -3.06436683E-03  2.68889345E+00  2.68889524E+00  0.00000000E+00
    6000 -4.79559574E-04 -3.06443796E-03  2.68889135E+00  2.68889314E+00  0.00000000E+00
    6100 -4.79594057E-04 -3.06451048E-03  2.68888927E+00  2.68889106E+00  0.00000000E+00
    6200 -4.79626114E-04 -3.06458352E-03  2.68888722E+00  2.68888901E+00  0.00000000E+00
    6300 -4.79656102E-04 -3.06465645E-03  2.68888519E+00  2.68888698E+00  0.00000000E+00
    6400 -4.79684411E-04 -3.06472885E-03  2.68888318E+00  2.68888497E+00  0.00000000E+00
    6500 -4.79711415E-04 -3.06480046E-03  2.68888119E+00  2.68888298E+00  0.00000000E+00
    6600 -4.79737445E-04 -3.06487117E-03  2.68887923E+00  2.68888102E+00  0.00000000E+00
