   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.61715306E+00  6.84949015E+00  4.69155153E+01  6.66666667E-01 -7.92412839E-36  0.00000000E+00 -5.61095192E+00 -5.32448005E+00  0.00000000E+00
      11  2.76041339E+00  7.62073776E+00  5.81009946E+01  6.66521163E-01  5.33044262E-23  0.00000000E+00 -6.20471168E+00 -5.87463773E+00  0.00000000E+00
      21  2.77902968E+00  7.72339175E+00  5.96623205E+01  6.66602178E-01  2.40306664E-23  0.00000000E+00 -6.22880981E+00 -5.89462185E+00  0.00000000E+00
      31  2.78462092E+00  7.75432062E+00  6.01356984E+01  6.66632240E-01  1.28924238E-23  0.00000000E+00 -6.23410595E+00 -5.89888351E+00  0.00000000E+00
      41  2.78682039E+00  7.76649371E+00  6.03222034E+01  6.66645784E-01  7.83654533E-24  0.00000000E+00 -6.23606973E+00 -5.90045432E+00  0.00000000E+00
      51  2.78781601E+00  7.77200163E+00  6.04065193E+01  6.66652816E-01  5.20280773E-24  0.00000000E+00 -6.23700591E+00 -5.90120435E+00  0.00000000E+00
      61  2.78834205E+00  7.77491058E+00  6.04510143E+01  6.66656852E-01  3.68875083E-24  0.00000000E+00 -6.23752385E+00 -5.90162016E+00  0.00000000E+00
      71  2.78866027E+00  7.77667020E+00  6.04779249E+01  6.66659360E-01  2.74697926E-24  0.00000000E+00 -6.23784010E+00 -5.90187419E+00  0.00000000E+00
      81  2.78886994E+00  7.77782961E+00  6.04956582E+01  6.66661020E-01  2.12335608E-24  0.00000000E+00 -6.23804726E+00 -5.90204057E+00  0.00000000E+00
      91  2.78901534E+00  7.77863367E+00  6.05079573E+01  6.66662174E-01  1.68963960E-24  0.00000000E+00 -6.23819029E+00 -5.90215541E+00  0.00000000E+00
     101  2.78912001E+00  7.77921252E+00  6.05168115E+01  6.66663008E-01  1.37605936E-24  0.00000000E+00 -6.23829316E+00 -5.90223801E+00  0.00000000E+00
     111  2.78919777E+00  7.77964255E+00  6.05233894E+01  6.66663631E-01  1.14211824E-24  0.00000000E+00 -6.23836962E+00 -5.90229940E+00  0.00000000E+00
     121  2.78925712E+00  7.77997072E+00  6.05284093E+01  6.66664107E-01  9.63019504E-25  0.00000000E+00 -6.23842799E+00 -5.90234627E+00  0.00000000E+00
     131  2.78930344E+00  7.78022689E+00  6.05323277E+01  6.66664479E-01  8.22899666E-25  0.00000000E+00 -6.23847355E+00 -5.90238285E+00  0.00000000E+00
     141  2.78934029E+00  7.78043069E+00  6.05354450E+01  6.66664776E-01  7.11233174E-25  0.00000000E+00 -6.23850980E+00 -5.90241196E+00  0.00000000E+00
     151  2.78937009E+00  7.78059547E+00  6.05379655E+01  6.66665017E-01  6.20816751E-25  0.00000000E+00 -6.23853911E+00 -5.90243550E+00  0.00000000E+00
     161  2.78939453E+00  7.78073060E+00  6.05400325E+01  6.66665214E-01  5.46587677E-25  0.00000000E+00 -6.23856315E+00 -5.90245480E+00  0.00000000E+00
     171  2.78941481E+00  7.78084278E+00  6.05417484E+01  6.66665378E-01  4.84904295E-25  0.00000000E+00 -6.23858311E+00 -5.90247082E+00  0.00000000E+00
     181  2.78943184E+00  7.78093692E+00  6.05431884E+01  6.66665516E-01  4.33093342E-25  0.00000000E+00 -6.23859986E+00 -5.90248427E+00  0.00000000E+00
     191  2.78944626E+00  7.78101670E+00  6.05444088E+01  6.66665632E-01  3.89156854E-25  0.00000000E+00 -6.23861405E+00 -5.90249567E+00  0.00000000E+00
     201  2.78945860E+00  7.78108490E+00  6.05454519E+01  6.66665732E-01  3.51577491E-25  0.00000000E+00 -6.23862619E+00 -5.90250541E+00  0.00000000E+00
     211  2.78946922E+00  7.78114364E+00  6.05463505E+01  6.66665818E-01  3.19186286E-25  0.00000000E+00 -6.23863664E+00 -5.90251380E+00  0.00000000E+00
     221  2.78947843E+00  7.78119461E+00  6.05471301E+01  6.66665893E-01  2.91070949E-25  0.00000000E+00 -6.23864571E+00 -5.90252109E+00  0.00000000E+00
     231  2.78948648E+00  7.78123911E+00  6.05478108E+01  6.66665958E-01  2.66511128E-25  0.00000000E+00 -6.23865363E+00 -5.90252745E+00  0.00000000E+00
